date,region,Total number of banking system institutions,institutions of the Bank of Russia,credit institutions,branches of credit organizations,additional offices,Number of bank institutions per 1 million inhabitants
01.07.2008,Краснодарский край,1 504,27,18,109,1 098,295
01.07.2008,Красноярский край,906,27,5,77,435,313
01.07.2008,Курганская область,324,6,5,23,82,334
01.07.2008,Курская область,307,6,2,21,148,262
01.07.2008,Ленинградская область,380,4,4,45,241,232
01.07.2008,Липецкая область,310,5,2,27,108,264
01.07.2008,Магаданская область,67,8,2,14,31,398
01.07.2008,г. Москва и Московская область,6 464,17,563,283,3 731,378
01.07.2008,Мурманская область,219,3,4,25,144,256
01.07.2008,Нижегородская область,1 192,18,18,113,386,353
01.07.2008,Новгородская область,178,3,2,17,125,271
01.07.2008,Новосибирская область,769,13,13,64,416,291
01.07.2008,Омская область,695,10,7,47,185,343
01.07.2008,Оренбургская область,845,17,9,53,248,398
01.07.2008,Орловская область,237,5,2,25,77,287
01.07.2008,Пензенская область,598,7,2,33,135,428
01.07.2008,Пермский край,823,11,8,74,321,301
01.07.2008,Приморский край,485,16,9,48,328,242
01.07.2008,Псковская область,188,5,3,13,115,264
01.07.2008,Республика Адыгея (Адыгея),96,3,5,6,69,218
01.07.2008,Республика Алтай,62,7,5,4,28,302
01.07.2008,Республика Башкортостан,1 287,10,11,63,616,318
01.07.2008,Республика Бурятия,288,15,1,22,214,300
01.07.2008,Республика Дагестан,246,23,33,69,116,93
01.07.2008,Республика Ингушетия,20,2,2,4,12,41
01.07.2008,Республика Калмыкия,50,1,2,4,39,174
01.07.2008,Республика Карелия,180,13,1,23,101,260
01.07.2008,Республика Коми,294,15,3,41,98,302
01.07.2008,Республика Марий Эл,160,7,1,21,49,226
01.07.2008,Республика Мордовия,308,2,4,15,119,363
01.07.2008,Республика Саха (Якутия),336,24,5,47,112,354
01.07.2008,Республика Северная Осетия-Алания,79,3,6,16,44,113
01.07.2008,Республика Татарстан (Татарстан),1 653,15,26,104,484,440
01.07.2008,Республика Тыва,52,4,2,4,32,168
01.07.2008,Республика Хакасия,180,5,3,8,74,335
01.07.2008,Ростовская область,1 259,14,22,106,844,294
01.07.2008,Рязанская область,287,6,4,25,112,245
01.07.2008,Самарская область,966,10,22,95,414,304
01.07.2008,г. Санкт-Петербург,1 480,3,41,156,949,324
01.07.2008,Саратовская область,974,12,12,74,217,375
01.07.2008,Сахалинская область,175,11,6,17,89,336
01.07.2008,Свердловская область,1 180,16,24,102,733,268
01.07.2008,Смоленская область,247,8,4,29,99,249
01.07.2008,Ставропольский край,587,11,8,63,421,217
01.07.2008,Тамбовская область,326,5,2,20,90,292
01.07.2008,Тверская область,358,13,8,40,115,257
01.07.2008,Томская область,298,11,4,36,146,288
01.07.2008,Тульская область,368,6,5,36,182,233
01.07.2008,Тюменская область,1 372,22,22,158,531,410
01.07.2008,Удмуртская Республика,394,7,8,31,169,256
01.07.2008,Ульяновская область,429,6,4,31,172,325
01.07.2008,Хабаровский край,348,4,5,32,249,248
01.07.2008,Челябинская область,827,12,11,117,445,235
01.07.2008,Чеченская Республика,1,0,0,1,0,1
01.07.2008,Читинская область,341,19,2,23,262,304
01.07.2008,Чувашская Республика - Чувашия,338,4,5,27,91,263
01.07.2008,Чукотский авт. округ,35,8,0,7,11,693
01.07.2008,Ярославская область,384,7,8,43,186,291
01.04.2008,Алтайский край,999,18,8,55,288,398
01.04.2008,Амурская область,247,4,5,16,162,284
01.04.2008,Архангельская область,298,17,3,35,133,234
01.04.2008,Астраханская область,267,4,5,31,105,267
01.04.2008,Белгородская область,456,7,6,34,126,300
01.04.2008,Брянская область,301,6,1,31,69,230
01.04.2008,Владимирская область,401,10,2,30,147,277
01.04.2008,Волгоградская область,690,9,5,68,230,264
01.04.2008,Вологодская область,389,8,9,31,170,318
01.04.2008,Воронежская область,651,8,4,56,192,285
01.04.2008,Еврейская авт. область,44,2,0,6,16,237
01.04.2008,Ивановская область,254,5,5,21,111,235
01.04.2008,Иркутская область,611,18,9,55,422,244
01.04.2008,Кабардино-Балкарская Республика,151,4,6,13,64,169
01.04.2008,Калининградская область,297,2,11,39,148,317
01.04.2008,Калужская область,267,5,5,29,121,265
01.04.2008,Камчатский край,116,13,6,13,66,336
01.04.2008,Карачаево-Черкесская Республика,50,2,5,4,37,117
01.04.2008,Кемеровская область,569,11,8,44,290,202
01.04.2008,Кировская область,429,9,3,29,153,304
