date,region,Total number of banking system institutions,institutions of the Bank of Russia,credit institutions,branches of credit organizations,additional offices,Number of bank institutions per 1 million inhabitants
01.07.2011,Республика Коми,296,12,3,34,123,329
01.07.2011,Республика Марий Эл,159,4,1,17,55,229
01.07.2011,Республика Мордовия,319,2,4,9,138,383
01.07.2011,Республика Саха (Якутия),342,18,4,29,147,357
01.07.2011,Республика Северная Осетия-Алания,93,3,5,11,51,131
01.07.2011,Республика Татарстан (Татарстан),1 556,13,25,96,560,411
01.07.2011,Республика Тыва,53,3,2,4,39,172
01.07.2011,Республика Хакасия,182,3,3,5,97,342
01.07.2011,Ростовская область,1 278,14,17,112,908,299
01.07.2011,Рязанская область,295,3,4,17,120,256
01.07.2011,Самарская область,1 013,9,20,84,468,315
01.07.2011,г. Санкт-Петербург,1 505,3,38,152,977,309
01.07.2011,Саратовская область,903,9,9,66,285,358
01.07.2011,Сахалинская область,164,9,5,10,65,330
01.07.2011,Свердловская область,1 187,11,18,94,753,276
01.07.2011,Смоленская область,270,6,4,19,114,275
01.07.2011,Ставропольский край,589,9,7,59,422,211
01.07.2011,Тамбовская область,333,3,1,12,120,305
01.07.2011,Тверская область,358,11,6,29,127,265
01.07.2011,Томская область,287,7,2,24,154,274
01.07.2011,Тульская область,376,5,5,23,187,243
01.07.2011,Тюменская область,1 233,18,18,131,569,362
01.07.2011,Удмуртская Республика,393,6,5,23,198,258
01.07.2011,Ульяновская область,412,4,4,21,201,319
01.07.2011,Хабаровский край,357,4,4,26,255,266
01.07.2011,Челябинская область,900,10,10,96,470,259
01.07.2011,Чеченская Республика,50,1,0,4,30,39
01.07.2011,Чувашская Республика - Чувашия,366,3,4,19,111,293
01.07.2011,Чукотский автономный округ,31,8,0,4,9,616
01.07.2011,Ярославская область,409,5,7,30,225,322
01.04.2011,Алтайский край,919,12,7,46,288,369
01.04.2011,Амурская область,229,4,2,13,171,266
01.04.2011,Архангельская область,326,13,2,31,161,260
01.04.2011,Астраханская область,279,4,5,24,121,277
01.04.2011,Белгородская область,487,4,5,25,139,318
01.04.2011,Брянская область,313,4,1,23,89,242
01.04.2011,Владимирская область,432,6,3,23,183,302
01.04.2011,Волгоградская область,718,9,4,57,276,277
01.04.2011,Вологодская область,405,7,9,20,276,334
01.04.2011,Воронежская область,699,6,2,52,231,309
01.04.2011,Еврейская автономная область,48,2,0,5,16,259
01.04.2011,Забайкальский край,300,16,0,15,236,269
01.04.2011,Ивановская область,277,4,6,16,136,260
01.04.2011,Иркутская область,596,17,8,43,398,238
01.04.2011,Кабардино-Балкарская Республика,143,3,5,13,73,160
01.04.2011,Калининградская область,307,2,4,30,155,327
01.04.2011,Калужская область,312,3,4,24,138,312
01.04.2011,Камчатский край,131,13,4,12,79,383
01.04.2011,Карачаево-Черкесская Республика,49,2,5,4,34,115
01.04.2011,Кемеровская область,588,7,9,32,326,208
01.04.2011,Кировская область,439,7,3,18,183,315
01.04.2011,Костромская область,188,5,5,11,103,273
01.04.2011,Краснодарский край,1 592,19,14,105,1 136,308
01.04.2011,Красноярский край,885,21,5,59,511,306
01.04.2011,Курганская область,323,4,4,14,77,341
01.04.2011,Курская область,308,4,2,18,136,268
01.04.2011,Ленинградская область,390,4,4,15,58,239
01.04.2011,Липецкая область,334,4,2,22,138,288
01.04.2011,Магаданская область,66,6,0,9,37,409
01.04.2011,г. Москва и Московская область,6 880,17,522,231,4 090,397
01.04.2011,Мурманская область,240,3,4,20,144,287
01.04.2011,Нижегородская область,1 156,16,14,95,459,348
01.04.2011,Новгородская область,184,3,2,13,123,287
01.04.2011,Новосибирская область,752,9,10,70,417,284
01.04.2011,Омская область,650,8,6,41,209,323
01.04.2011,Оренбургская область,832,14,9,39,298,394
01.04.2011,Орловская область,208,4,2,18,88,256
01.04.2011,Пензенская область,594,6,2,26,161,433
01.04.2011,Пермский край,829,9,5,63,381,307
01.04.2011,Приморский край,502,14,8,34,312,253
01.04.2011,Псковская область,188,4,3,8,113,273
01.04.2011,Республика Адыгея (Адыгея),101,2,5,6,75,228
01.04.2011,Республика Алтай,62,7,4,4,34,294
01.04.2011,Республика Башкортостан,1 269,10,11,53,658,312
01.04.2011,Республика Бурятия,278,13,1,15,202,289
01.04.2011,Республика Дагестан,300,8,32,77,167,110
01.04.2011,Республика Ингушетия,24,2,2,5,15,46
01.04.2011,Республика Калмыкия,50,1,2,3,37,177
01.04.2011,Республика Карелия,190,12,1,14,115,278
01.04.2011,Республика Коми,293,13,3,34,128,308
01.04.2011,Республика Марий Эл,161,6,1,17,55,231
01.04.2011,Республика Мордовия,318,2,4,9,137,385
01.04.2011,Республика Саха (Якутия),334,19,4,33,131,352
01.04.2011,Республика Северная Осетия-Алания,93,3,5,12,51,133
01.04.2011,Республика Татарстан (Татарстан),1 536,14,26,95,555,406
01.04.2011,Республика Тыва,53,3,2,4,39,167
01.04.2011,Республика Хакасия,181,3,3,5,97,336
01.04.2011,Ростовская область,1 264,14,17,112,887,299
01.04.2011,Рязанская область,297,4,4,18,126,258
01.04.2011,Самарская область,1 003,9,20,83,459,316
01.04.2011,г. Санкт-Петербург,1 520,3,38,147,1 007,330
01.04.2011,Саратовская область,917,12,9,66,273,357
01.04.2011,Сахалинская область,162,10,5,11,70,317
01.04.2011,Свердловская область,1 167,11,19,94,751,266
01.04.2011,Смоленская область,268,6,4,20,115,277
01.04.2011,Ставропольский край,592,9,7,59,426,218
01.04.2011,Тамбовская область,328,3,1,13,109,301
01.04.2011,Тверская область,369,12,7,30,128,271
01.04.2011,Томская область,288,9,2,24,155,276
01.04.2011,Тульская область,377,6,5,25,189,245
01.04.2011,Тюменская область,1 250,22,18,134,571,364
01.04.2011,Удмуртская Республика,385,6,5,23,201,252
01.04.2011,Ульяновская область,415,4,4,22,200,319
01.04.2011,Хабаровский край,354,4,4,26,256,253
01.04.2011,Челябинская область,886,10,10,96,468,252
01.04.2011,Чеченская Республика,56,0,0,5,34,44
01.04.2011,Чувашская Республика - Чувашия,359,3,4,19,109,281
01.04.2011,Чукотский автономный округ,33,8,0,4,9,679
01.04.2011,Ярославская область,405,5,6,31,224,310
01.01.2011,Алтайский край,914,12,7,48,287,367
01.01.2011,Амурская область,228,4,2,12,168,265
01.01.2011,Архангельская область,319,13,2,31,160,254
01.01.2011,Астраханская область,275,4,5,24,118,273
01.01.2011,Белгородская область,480,4,5,25,138,314
01.01.2011,Брянская область,321,4,1,24,89,248
01.01.2011,Владимирская область,427,6,3,23,181,299
01.01.2011,Волгоградская область,715,9,4,58,271,276
01.01.2011,Вологодская область,409,7,9,20,282,337
01.01.2011,Воронежская область,691,6,2,54,235,306
01.01.2011,Еврейская автономная область,48,2,0,5,16,259
01.01.2011,Забайкальский край,296,16,0,15,234,265
01.01.2011,Ивановская область,272,4,6,15,136,255
01.01.2011,Иркутская область,594,17,8,43,396,237
01.01.2011,Кабардино-Балкарская Республика,145,3,6,13,73,162
01.01.2011,Калининградская область,306,2,4,33,153,326
01.01.2011,Калужская область,309,3,4,23,139,309
01.01.2011,Камчатский край,130,13,4,13,78,380
01.01.2011,Карачаево-Черкесская Республика,49,2,5,4,35,115
01.01.2011,Кемеровская область,579,7,8,32,322,205
01.01.2011,Кировская область,438,7,3,18,183,315
01.01.2011,Костромская область,190,5,5,11,103,276
01.01.2011,Краснодарский край,1 579,19,14,105,1 131,306
01.01.2011,Красноярский край,887,21,5,60,500,306
01.01.2011,Курганская область,322,4,4,14,78,340
01.01.2011,Курская область,307,4,2,18,143,267
01.01.2011,Ленинградская область,385,4,4,28,275,236
01.01.2011,Липецкая область,333,4,2,24,127,288
01.01.2011,Магаданская область,69,6,0,9,37,428
01.01.2011,г. Москва и Московская область,6 929,17,525,228,4 040,400
01.01.2011,Мурманская область,236,3,4,23,142,282
01.01.2011,Нижегородская область,1 150,16,14,92,456,346
01.01.2011,Новгородская область,176,3,2,14,126,275
01.01.2011,Новосибирская область,751,9,10,70,418,283
01.01.2011,Омская область,646,8,6,42,209,321
01.01.2011,Оренбургская область,832,14,9,39,274,394
01.01.2011,Орловская область,207,4,2,19,84,255
01.01.2011,Пензенская область,595,6,2,26,154,433
01.01.2011,Пермский край,826,9,5,64,382,306
01.01.2011,Приморский край,495,14,8,34,346,250
01.01.2011,Псковская область,185,4,3,11,111,269
01.01.2011,Республика Адыгея (Адыгея),99,2,5,6,75,223
01.01.2011,Республика Алтай,61,7,4,5,34,289
01.01.2011,Республика Башкортостан,1 250,10,11,53,652,307
01.01.2011,Республика Бурятия,270,13,1,16,197,280
01.01.2011,Республика Дагестан,287,8,31,76,158,105
01.01.2011,Республика Ингушетия,23,2,2,5,14,45
01.01.2011,Республика Калмыкия,50,1,2,3,37,177
01.01.2011,Республика Карелия,186,12,1,19,110,272
01.01.2011,Республика Коми,296,13,3,33,129,311
01.01.2011,Республика Марий Эл,160,6,1,17,54,229
01.01.2011,Республика Мордовия,315,2,4,9,135,381
01.01.2011,Республика Саха (Якутия),331,20,4,33,149,349
01.01.2011,Республика Северная Осетия-Алания,96,3,6,12,53,137
01.01.2011,Республика Татарстан (Татарстан),1 590,14,26,96,547,421
01.01.2011,Республика Тыва,53,3,2,4,39,167
01.01.2011,Республика Хакасия,179,3,3,5,96,332
01.01.2011,Ростовская область,1 257,14,17,110,885,297
01.01.2011,Рязанская область,292,4,4,18,123,254
01.01.2011,Самарская область,1 001,9,20,84,447,316
01.01.2011,г. Санкт-Петербург,1 524,3,39,155,1 005,331
01.01.2011,Саратовская область,920,12,10,66,251,359
01.01.2011,Сахалинская область,159,10,5,11,70,311
01.01.2011,Свердловская область,1 175,11,19,94,758,267
01.01.2011,Смоленская область,264,6,4,19,114,273
01.01.2011,Ставропольский край,590,9,7,58,426,218
01.01.2011,Тамбовская область,332,3,1,13,105,305
01.01.2011,Тверская область,363,12,7,32,125,267
01.01.2011,Томская область,282,9,2,26,155,270
01.01.2011,Тульская область,372,6,5,25,192,241
01.01.2011,Тюменская область,1 229,22,18,134,557,358
01.01.2011,Удмуртская Республика,378,6,5,23,199,248
01.01.2011,Ульяновская область,416,4,4,22,200,320
01.01.2011,Хабаровский край,344,4,4,26,252,246
01.01.2011,Челябинская область,864,10,10,94,454,246
01.01.2011,Чеченская Республика,55,0,0,5,34,43
01.01.2011,Чувашская Республика - Чувашия,358,3,4,19,108,280
01.01.2011,Чукотский автономный округ,34,8,0,4,9,700
01.01.2011,Ярославская область,404,5,7,32,224,309
01.10.2012,Алтайский край,954,7,7,37,261,396
01.10.2012,Амурская область,251,4,2,8,126,306
01.10.2012,Архангельская область,341,9,2,29,156,281
01.10.2012,Астраханская область,297,3,5,23,114,293
01.10.2012,Белгородская область,522,4,5,18,153,340
01.10.2012,Брянская область,329,3,1,19,100,260
01.10.2012,Владимирская область,468,6,3,19,216,327
01.10.2012,Волгоградская область,774,9,4,56,283,298
01.10.2012,Вологодская область,422,6,10,16,263,352
01.10.2012,Воронежская область,766,5,4,40,325,329
01.10.2012,Еврейская автономная область,54,2,0,4,22,310
01.10.2012,Забайкальский край,285,11,0,14,185,259
01.10.2012,Ивановская область,294,4,6,13,142,279
01.10.2012,Иркутская область,669,15,8,39,349,276
01.10.2012,Кабардино-Балкарская Республика,148,3,5,12,74,172
01.10.2012,Калининградская область,316,2,3,27,158,334
01.10.2012,Калужская область,326,2,4,20,141,323
01.10.2012,Камчатский край,134,11,3,9,69,419
01.10.2012,Карачаево-Черкесская Республика,52,2,5,4,33,110
01.10.2012,Кемеровская область,670,7,9,29,323,244
01.10.2012,Кировская область,479,5,3,18,195,361
01.10.2012,Костромская область,198,4,5,11,99,299
01.10.2012,Краснодарский край,1 747,18,15,99,1 129,331
01.10.2012,Красноярский край,952,16,5,49,523,335
01.10.2012,Курганская область,357,4,4,13,81,398
01.10.2012,Курская область,353,3,2,15,125,315
01.10.2012,Ленинградская область,423,4,5,14,47,244
01.10.2012,Липецкая область,367,4,2,18,151,315
01.10.2012,Магаданская область,71,6,0,9,36,460
01.10.2012,г. Москва и Московская область,7 209,17,505,226,4 485,383
01.10.2012,Мурманская область,266,3,3,16,138,338
01.10.2012,Нижегородская область,1 183,13,11,95,528,359
01.10.2012,Новгородская область,199,3,2,10,122,316
01.10.2012,Новосибирская область,846,8,9,71,461,315
01.10.2012,Омская область,674,6,6,34,204,341
01.10.2012,Оренбургская область,866,12,8,33,301,428
01.10.2012,Орловская область,227,4,1,17,95,291
01.10.2012,Пензенская область,595,5,1,24,159,432
01.10.2012,Пермский край,882,8,5,59,380,335
01.10.2012,Приморский край,554,11,7,24,292,284
01.10.2012,Псковская область,205,4,3,6,115,307
01.10.2012,Республика Адыгея (Адыгея),105,2,4,6,74,237
01.10.2012,Республика Алтай,66,4,3,6,34,317
01.10.2012,Республика Башкортостан,1 437,9,11,53,703,354
01.10.2012,Республика Бурятия,288,8,1,13,181,296
01.10.2012,Республика Дагестан,301,7,30,86,153,103
01.10.2012,Республика Ингушетия,28,2,2,7,15,65
01.10.2012,Республика Калмыкия,52,1,2,3,35,181
01.10.2012,Республика Карелия,210,10,1,14,117,328
01.10.2012,Республика Коми,319,10,2,24,129,358
01.10.2012,Республика Марий Эл,177,4,2,16,62,256
01.10.2012,Республика Мордовия,334,2,4,9,142,405
01.10.2012,Республика Саха (Якутия),366,16,4,27,127,383
01.10.2012,Республика Северная Осетия-Алания,102,3,5,11,55,144
01.10.2012,Республика Татарстан (Татарстан),1 629,12,23,92,647,428
01.10.2012,Республика Тыва,54,2,1,4,39,175
01.10.2012,Республика Хакасия,189,2,2,4,92,355
01.10.2012,Ростовская область,1 369,14,16,109,930,321
01.10.2012,Рязанская область,330,2,4,19,124,287
01.10.2012,Самарская область,1 064,8,19,75,466,331
01.10.2012,г. Санкт-Петербург,1 633,3,39,155,1 080,330
01.10.2012,Саратовская область,887,9,9,61,261,354
01.10.2012,Сахалинская область,174,9,5,9,65,351
01.10.2012,Свердловская область,1 329,11,16,90,855,309
01.10.2012,Смоленская область,307,6,4,20,119,313
01.10.2012,Ставропольский край,654,9,7,42,468,235
01.10.2012,Тамбовская область,352,3,1,11,126,325
01.10.2012,Тверская область,393,11,6,23,134,293
01.10.2012,Томская область,301,5,2,23,139,285
01.10.2012,Тульская область,420,5,5,19,188,272
01.10.2012,Тюменская область,1 299,17,16,107,612,375
01.10.2012,Удмуртская Республика,443,6,2,24,198,292
01.10.2012,Ульяновская область,407,4,3,21,183,317
01.10.2012,Хабаровский край,388,4,3,31,225,289
01.10.2012,Челябинская область,1 059,10,9,89,466,304
01.10.2012,Чеченская Республика,53,1,0,5,30,41
01.10.2012,Чувашская Республика - Чувашия,385,3,4,16,128,309
01.10.2012,Чукотский автономный округ,29,7,0,4,8,569
01.10.2012,Ярославская область,425,5,7,27,210,334
01.07.2012,Алтайский край,942,7,7,42,274,391
01.07.2012,Амурская область,245,4,2,11,149,298
01.07.2012,Архангельская область,340,10,2,29,159,280
01.07.2012,Астраханская область,290,3,5,24,114,286
01.07.2012,Белгородская область,522,4,5,22,148,340
01.07.2012,Брянская область,332,3,1,20,100,263
01.07.2012,Владимирская область,470,6,3,21,217,328
01.07.2012,Волгоградская область,763,9,4,55,287,294
01.07.2012,Вологодская область,422,6,10,16,266,352
01.07.2012,Воронежская область,763,5,4,44,320,327
01.07.2012,Еврейская автономная область,52,2,0,4,22,298
01.07.2012,Забайкальский край,290,13,0,14,191,264
01.07.2012,Ивановская область,299,4,6,13,141,284
01.07.2012,Иркутская область,658,15,8,40,347,271
01.07.2012,Кабардино-Балкарская Республика,147,3,5,12,73,171
01.07.2012,Калининградская область,317,2,3,27,158,335
01.07.2012,Калужская область,335,2,4,20,143,332
01.07.2012,Камчатский край,138,11,4,10,79,431
01.07.2012,Карачаево-Черкесская Республика,52,2,5,4,34,110
01.07.2012,Кемеровская область,656,7,9,30,317,238
01.07.2012,Кировская область,476,5,3,18,194,358
01.07.2012,Костромская область,199,4,5,11,100,301
01.07.2012,Краснодарский край,1 718,18,15,101,1 138,325
01.07.2012,Красноярский край,933,16,5,48,521,329
01.07.2012,Курганская область,351,4,4,13,80,392
01.07.2012,Курская область,352,3,2,17,125,314
01.07.2012,Ленинградская область,424,4,5,15,48,245
01.07.2012,Липецкая область,368,4,2,20,150,316
01.07.2012,Магаданская область,70,6,0,8,36,453
01.07.2012,г. Москва и Московская область,7 118,17,504,227,4 387,378
01.07.2012,Мурманская область,260,3,3,17,139,330
01.07.2012,Нижегородская область,1 191,13,11,96,532,361
01.07.2012,Новгородская область,197,3,2,10,122,313
01.07.2012,Новосибирская область,839,8,9,72,456,312
01.07.2012,Омская область,677,7,6,35,219,343
01.07.2012,Оренбургская область,861,12,8,34,302,425
01.07.2012,Орловская область,223,4,1,17,95,285
01.07.2012,Пензенская область,595,5,1,23,159,432
01.07.2012,Пермский край,876,8,5,57,382,333
01.07.2012,Приморский край,544,12,7,24,296,279
01.07.2012,Псковская область,205,4,3,6,115,307
01.07.2012,Республика Адыгея (Адыгея),104,2,4,6,73,235
01.07.2012,Республика Алтай,64,4,3,6,33,307
01.07.2012,Республика Башкортостан,1 393,9,11,52,690,343
01.07.2012,Республика Бурятия,293,10,1,14,182,302
01.07.2012,Республика Дагестан,297,7,30,84,152,101
01.07.2012,Республика Ингушетия,27,2,2,7,15,63
01.07.2012,Республика Калмыкия,50,1,2,3,35,174
01.07.2012,Республика Карелия,209,10,1,14,117,327
01.07.2012,Республика Коми,317,12,2,25,130,356
01.07.2012,Республика Марий Эл,174,4,1,17,62,251
01.07.2012,Республика Мордовия,332,2,4,9,142,402
01.07.2012,Республика Саха (Якутия),357,17,4,28,133,373
01.07.2012,Республика Северная Осетия-Алания,101,3,5,11,54,142
01.07.2012,Республика Татарстан (Татарстан),1 625,12,25,92,646,427
01.07.2012,Республика Тыва,54,2,1,4,39,175
01.07.2012,Республика Хакасия,186,3,2,4,91,350
01.07.2012,Ростовская область,1 360,14,16,109,924,319
01.07.2012,Рязанская область,323,2,4,19,124,281
01.07.2012,Самарская область,1 059,8,19,75,464,329
01.07.2012,г. Санкт-Петербург,1 613,3,39,153,1 072,326
01.07.2012,Саратовская область,885,9,9,63,263,353
01.07.2012,Сахалинская область,169,9,5,9,65,341
01.07.2012,Свердловская область,1 304,11,16,89,842,303
01.07.2012,Смоленская область,306,6,4,20,117,312
01.07.2012,Ставропольский край,641,9,7,46,428,230
01.07.2012,Тамбовская область,350,3,1,11,125,323
01.07.2012,Тверская область,393,11,6,24,137,293
01.07.2012,Томская область,299,6,2,24,152,283
01.07.2012,Тульская область,414,5,5,22,190,268
01.07.2012,Тюменская область,1 268,17,16,112,589,367
01.07.2012,Удмуртская Республика,439,6,3,24,196,289
01.07.2012,Ульяновская область,406,4,3,21,187,317
01.07.2012,Хабаровский край,380,4,4,31,251,283
01.07.2012,Челябинская область,1 019,10,9,90,466,293
01.07.2012,Чеченская Республика,51,1,0,5,28,39
01.07.2012,Чувашская Республика - Чувашия,381,3,4,17,127,306
01.07.2012,Чукотский автономный округ,29,7,0,4,8,569
01.07.2012,Ярославская область,426,5,7,29,212,335
01.04.2012,Алтайский край,937,10,7,44,273,388
01.04.2012,Амурская область,241,4,2,12,149,291
01.04.2012,Архангельская область,338,10,2,29,159,276
01.04.2012,Астраханская область,285,3,5,24,112,282
01.04.2012,Белгородская область,516,4,5,22,147,337
01.04.2012,Брянская область,326,3,1,21,101,256
01.04.2012,Владимирская область,465,6,3,23,213,322
01.04.2012,Волгоградская область,781,9,4,56,278,299
01.04.2012,Вологодская область,419,6,9,16,271,349
01.04.2012,Воронежская область,756,5,4,49,314,324
01.04.2012,Еврейская автономная область,51,2,0,4,22,289
01.04.2012,Забайкальский край,303,13,0,14,203,274
01.04.2012,Ивановская область,301,4,6,13,139,284
01.04.2012,Иркутская область,643,15,8,40,348,265
01.04.2012,Кабардино-Балкарская Республика,147,3,5,13,73,171
01.04.2012,Калининградская область,320,2,3,29,157,340
01.04.2012,Калужская область,330,3,4,22,143,327
01.04.2012,Камчатский край,134,11,4,11,77,417
01.04.2012,Карачаево-Черкесская Республика,52,2,5,4,34,109
01.04.2012,Кемеровская область,652,7,9,30,319,236
01.04.2012,Кировская область,476,7,3,18,197,356
01.04.2012,Костромская область,194,4,5,11,101,291
01.04.2012,Краснодарский край,1 690,18,15,99,1 139,323
01.04.2012,Красноярский край,939,19,5,52,536,332
01.04.2012,Курганская область,348,4,4,14,78,383
01.04.2012,Курская область,328,4,2,16,124,292
01.04.2012,Ленинградская область,418,4,5,15,48,244
01.04.2012,Липецкая область,360,4,2,21,149,307
01.04.2012,Магаданская область,70,6,0,9,36,447
01.04.2012,г. Москва и Московская область,7 116,17,510,232,4 341,381
01.04.2012,Мурманская область,258,3,4,16,139,325
01.04.2012,Нижегородская область,1 165,13,11,98,515,352
01.04.2012,Новгородская область,197,3,2,10,122,311
01.04.2012,Новосибирская область,814,8,9,73,442,305
01.04.2012,Омская область,663,7,6,38,217,335
01.04.2012,Оренбургская область,864,12,8,36,302,425
01.04.2012,Орловская область,227,4,2,19,98,289
01.04.2012,Пензенская область,599,5,1,24,161,433
01.04.2012,Пермский край,866,8,5,63,387,329
01.04.2012,Приморский край,527,12,7,25,292,270
01.04.2012,Псковская область,203,4,3,6,114,302
01.04.2012,Республика Адыгея (Адыгея),104,2,4,6,73,236
01.04.2012,Республика Алтай,64,4,3,6,33,310
01.04.2012,Республика Башкортостан,1 370,10,11,54,682,336
01.04.2012,Республика Бурятия,290,10,1,13,180,298
01.04.2012,Республика Дагестан,311,7,30,82,171,104
01.04.2012,Республика Ингушетия,27,2,2,7,15,65
01.04.2012,Республика Калмыкия,51,1,2,3,36,177
01.04.2012,Республика Карелия,203,10,1,14,117,315
01.04.2012,Республика Коми,311,12,2,25,129,346
01.04.2012,Республика Марий Эл,173,4,1,17,62,249
01.04.2012,Республика Мордовия,325,2,4,9,142,390
01.04.2012,Республика Саха (Якутия),352,17,4,27,135,367
01.04.2012,Республика Северная Осетия-Алания,100,3,5,11,53,140
01.04.2012,Республика Татарстан (Татарстан),1 602,12,25,96,629,423
01.04.2012,Республика Тыва,53,2,1,4,39,172
01.04.2012,Республика Хакасия,185,3,2,5,94,348
01.04.2012,Ростовская область,1 341,14,16,114,923,314
01.04.2012,Рязанская область,320,3,4,18,124,278
01.04.2012,Самарская область,1 055,8,20,78,483,328
01.04.2012,г. Санкт-Петербург,1 592,3,39,156,1 053,327
01.04.2012,Саратовская область,889,9,9,63,279,353
01.04.2012,Сахалинская область,167,9,5,9,65,336
01.04.2012,Свердловская область,1 285,11,16,90,836,299
01.04.2012,Смоленская область,294,6,4,20,116,299
01.04.2012,Ставропольский край,628,9,7,57,419,225
01.04.2012,Тамбовская область,348,3,1,11,126,319
01.04.2012,Тверская область,388,11,6,24,133,287
01.04.2012,Томская область,292,6,2,24,151,279
01.04.2012,Тульская область,399,5,5,23,194,257
01.04.2012,Тюменская область,1 257,17,16,118,574,369
01.04.2012,Удмуртская Республика,433,6,4,23,195,285
01.04.2012,Ульяновская область,412,4,4,21,191,319
01.04.2012,Хабаровский край,378,4,4,30,251,281
01.04.2012,Челябинская область,980,10,9,90,465,282
01.04.2012,Чеченская Республика,52,1,0,5,31,41
01.04.2012,Чувашская Республика - Чувашия,373,3,4,17,122,298
01.04.2012,Чукотский автономный округ,29,7,0,4,8,576
01.04.2012,Ярославская область,418,5,7,30,213,329
01.01.2012,Алтайский край,931,10,7,43,271,385
01.01.2012,Амурская область,240,4,2,13,150,290
01.01.2012,Архангельская область,345,10,2,31,163,282
01.01.2012,Астраханская область,285,3,5,24,114,282
01.01.2012,Белгородская область,510,4,5,23,148,333
01.01.2012,Брянская область,322,3,1,21,99,253
01.01.2012,Владимирская область,462,6,3,23,213,320
01.01.2012,Волгоградская область,772,9,4,56,277,296
01.01.2012,Вологодская область,419,6,9,15,275,349
01.01.2012,Воронежская область,753,5,3,49,297,322
01.01.2012,Еврейская автономная область,49,2,0,4,22,278
01.01.2012,Забайкальский край,301,13,0,15,203,272
01.01.2012,Ивановская область,296,4,6,13,139,279
01.01.2012,Иркутская область,629,15,8,39,350,259
01.01.2012,Кабардино-Балкарская Республика,146,3,5,13,73,170
01.01.2012,Калининградская область,320,2,3,30,156,340
01.01.2012,Калужская область,335,3,4,22,142,332
01.01.2012,Камчатский край,139,11,4,11,82,433
01.01.2012,Карачаево-Черкесская Республика,51,2,5,4,34,107
01.01.2012,Кемеровская область,640,7,9,29,320,232
01.01.2012,Кировская область,473,7,3,18,198,353
01.01.2012,Костромская область,192,4,5,12,103,288
01.01.2012,Краснодарский край,1 678,18,14,98,1 144,321
01.01.2012,Красноярский край,918,19,5,57,531,324
01.01.2012,Курганская область,345,4,4,14,79,380
01.01.2012,Курская область,340,4,2,17,136,302
01.01.2012,Ленинградская область,415,4,4,15,48,242
01.01.2012,Липецкая область,356,4,2,21,146,304
01.01.2012,Магаданская область,68,6,0,9,36,435
01.01.2012,г. Москва и Московская область,7 095,17,512,235,4 297,380
01.01.2012,Мурманская область,256,3,4,15,139,322
01.01.2012,Нижегородская область,1 176,13,12,97,513,356
01.01.2012,Новгородская область,194,3,2,11,123,307
01.01.2012,Новосибирская область,794,8,9,72,437,298
01.01.2012,Омская область,663,7,6,40,208,335
01.01.2012,Оренбургская область,868,12,8,37,300,427
01.01.2012,Орловская область,221,4,2,18,98,281
01.01.2012,Пензенская область,601,5,1,24,160,434
01.01.2012,Пермский край,861,8,5,63,382,327
01.01.2012,Приморский край,517,12,7,28,314,265
01.01.2012,Псковская область,199,4,3,6,114,296
01.01.2012,Республика Адыгея (Адыгея),107,2,4,6,77,243
01.01.2012,Республика Алтай,63,4,4,5,33,305
01.01.2012,Республика Башкортостан,1 333,10,11,54,676,327
01.01.2012,Республика Бурятия,287,10,1,14,181,295
01.01.2012,Республика Дагестан,315,7,31,82,172,106
01.01.2012,Республика Ингушетия,25,2,2,6,15,60
01.01.2012,Республика Калмыкия,52,1,2,3,36,180
01.01.2012,Республика Карелия,202,10,1,14,118,314
01.01.2012,Республика Коми,310,12,2,27,129,345
01.01.2012,Республика Марий Эл,170,4,1,17,62,244
01.01.2012,Республика Мордовия,321,2,4,9,142,385
01.01.2012,Республика Саха (Якутия),353,17,4,28,148,368
01.01.2012,Республика Северная Осетия-Алания,96,3,5,11,52,135
01.01.2012,Республика Татарстан (Татарстан),1 594,12,25,96,621,421
01.01.2012,Республика Тыва,52,2,1,4,39,169
01.01.2012,Республика Хакасия,165,3,2,5,75,310
01.01.2012,Ростовская область,1 334,14,16,115,920,312
01.01.2012,Рязанская область,316,3,4,18,123,274
01.01.2012,Самарская область,1 054,8,20,78,484,328
01.01.2012,г. Санкт-Петербург,1 572,3,39,154,1 034,323
01.01.2012,Саратовская область,895,9,9,64,279,355
01.01.2012,Сахалинская область,167,9,5,9,64,336
01.01.2012,Свердловская область,1 257,11,16,93,829,292
01.01.2012,Смоленская область,288,6,4,20,115,293
01.01.2012,Ставропольский край,627,9,8,57,424,225
01.01.2012,Тамбовская область,347,3,1,11,125,318
01.01.2012,Тверская область,382,11,6,26,131,283
01.01.2012,Томская область,291,6,2,24,151,278
01.01.2012,Тульская область,389,5,5,23,192,251
01.01.2012,Тюменская область,1 262,17,16,124,585,371
01.01.2012,Удмуртская Республика,424,6,4,23,195,279
01.01.2012,Ульяновская область,416,4,4,21,194,323
01.01.2012,Хабаровский край,373,4,4,30,250,278
01.01.2012,Челябинская область,942,10,9,94,474,271
01.01.2012,Чеченская Республика,52,1,0,4,31,41
01.01.2012,Чувашская Республика - Чувашия,374,3,4,18,123,299
01.01.2012,Чукотский автономный округ,29,7,0,4,8,576
01.01.2012,Ярославская область,427,5,7,31,224,336
01.10.2013,Алтайский край,951,7,7,19,278,396
01.10.2013,Амурская область,253,4,2,6,129,310
