Year,Reg,Group,Sex,PopD5a0,PopD5a1,PopD5a5,PopD5a10,PopD5a15,PopD5a20,PopD5a25,PopD5a30,PopD5a35,PopD5a40,PopD5a45,PopD5a50,PopD5a55,PopD5a60,PopD5a65,PopD5a70,PopD5a75,PopD5a80,PopD5a85
2012,1117,R,B,3645,13388,14894,13558,13920,22034,24572,22211,20708,19855,22657,28707,26032,20830,10017,17131,12386,9387,4920
2012,1117,R,M,1886,6926,7656,6958,7381,12013,12952,11602,10681,10032,11078,13660,11866,8926,3814,5312,3415,2062,706
2012,1117,R,F,1760,6462,7238,6600,6539,10021,11620,10609,10027,9824,11580,15047,14166,11904,6204,11819,8971,7325,4214
2012,1120,T,B,24492,90304,98305,93857,119513,180313,191321,167725,159322,149390,161722,196368,177370,151278,73598,121447,77482,64033,34972
2012,1120,T,M,12534,46460,50437,48318,61219,91125,96526,84103,77671,72749,76892,91167,78909,63383,27919,40649,23740,16901,6672
2012,1120,T,F,11958,43844,47868,45539,58294,89188,94796,83622,81651,76641,84831,105201,98461,87895,45679,80798,53742,47133,28300
2012,1120,U,B,16213,58872,63025,58277,82324,132900,133250,116867,108519,98508,103960,126819,117674,101673,48885,73361,45470,35836,20989
2012,1120,U,M,8275,30394,32328,29941,41853,66870,66270,57933,52234,46848,47761,56295,50404,41616,18443,24441,13661,9400,4418
2012,1120,U,F,7939,28478,30697,28336,40471,66030,66980,58935,56285,51660,56199,70524,67270,60057,30443,48920,31809,26437,16571
2012,1120,R,B,8279,31432,35280,35580,37189,47414,58072,50858,50803,50883,57762,69549,59696,49606,24713,48086,32012,28197,13984
2012,1120,R,M,4260,16066,18110,18378,19366,24256,30256,26171,25437,25902,29131,34872,28505,21768,9477,16208,10080,7501,2254
2012,1120,R,F,4020,15366,17171,17203,17823,23158,27816,24688,25366,24981,28632,34677,31191,27838,15236,31878,21933,20696,11730
2012,1124,T,B,10519,42773,48032,42142,48133,79644,83935,76221,74896,69169,72144,83631,81392,70422,32472,52000,35773,26441,14394
2012,1124,T,M,5491,21938,24643,21641,24619,41054,43250,38154,36535,32937,33616,37405,33553,27695,11517,15560,9283,5529,2308
2012,1124,T,F,5028,20835,23390,20501,23515,38590,40685,38067,38361,36232,38529,46226,47839,42727,20955,36440,26490,20912,12087
2012,1124,U,B,8522,35256,39726,34598,39831,66015,67807,62325,62007,56695,57514,65390,64453,57206,26596,41694,28156,20891,11654
2012,1124,U,M,4495,18161,20396,17755,20276,33731,34090,30253,29410,26391,26305,28483,25633,21932,9253,12201,7124,4306,1953
2012,1124,U,F,4027,17095,19330,16844,19555,32284,33718,32072,32597,30305,31209,36908,38820,35275,17343,29493,21032,16585,9701
2012,1124,R,B,1997,7517,8306,7544,8303,13629,16128,13896,12889,12474,14630,18241,16939,13216,5876,10306,7617,5550,2741
2012,1124,R,M,996,3777,4247,3887,4343,7323,9161,7901,7125,6547,7311,8923,7920,5763,2264,3359,2159,1223,355
2012,1124,R,F,1001,3740,4060,3657,3960,6306,6968,5995,5765,5928,7320,9319,9019,7453,3613,6947,5458,4327,2386
2012,1129,T,B,11611,41658,46218,42190,46623,73665,86153,77320,71405,66400,71393,86583,78636,66238,32420,48149,31388,23826,13340
2012,1129,T,M,5931,21341,23557,21920,24143,38771,44994,39563,35420,32574,33913,39431,34362,27372,12366,15630,9061,5676,2354
2012,1129,T,F,5680,20317,22661,20270,22480,34894,41159,37757,35986,33826,37481,47152,44274,38866,20054,32519,22327,18150,10986
2012,1129,U,B,8624,31066,34786,31452,35082,56334,66493,60007,55317,50917,54408,66014,60763,51892,25255,35967,22814,16702,9694
2012,1129,U,M,4382,15908,17727,16329,18085,29371,34412,30314,26939,24535,25183,29070,25765,21050,9571,11749,6683,4142,1858
2012,1129,U,F,4242,15158,17060,15123,16997,26963,32081,29693,28378,26383,29226,36944,34998,30842,15685,24218,16132,12560,7837
2012,1129,R,B,2987,10592,11432,10739,11541,17331,19660,17313,16089,15483,16985,20569,17873,14346,7165,12182,8574,7124,3646
2012,1129,R,M,1550,5433,5831,5591,6058,9400,10582,9249,8481,8040,8730,10362,8598,6322,2795,3881,2379,1534,497
2012,1129,R,F,1438,5159,5602,5148,5483,7932,9078,8064,7608,7443,8255,10208,9276,8024,4370,8301,6196,5591,3150
2012,1134,T,B,7929,30160,32896,29054,30042,44231,52132,48355,45407,41187,45605,58404,52657,42527,18148,30447,21645,15155,8428
2012,1134,T,M,4066,15425,16748,14835,15330,23038,26502,24111,21918,19752,21438,26882,23044,17694,6998,9468,6089,3427,1273
2012,1134,T,F,3864,14736,16148,14219,14713,21194,25630,24244,23489,21436,24167,31522,29613,24834,11150,20979,15556,11728,7155
2012,1134,U,B,5384,21637,23798,20244,21859,32807,39253,36240,33209,29045,30507,38577,35164,29337,13011,20797,14292,9813,5581
2012,1134,U,M,2730,11058,12085,10272,11026,16883,19503,17880,15869,13731,13984,17024,14768,11744,4878,6310,3871,2245,904
2012,1134,U,F,2654,10579,11714,9972,10833,15924,19750,18360,17340,15314,16523,21553,20396,17594,8133,14487,10421,7568,4678
2012,1134,R,B,2545,8523,9098,8810,8184,11424,12879,12115,12199,12143,15098,19827,17493,13190,5137,9650,7353,5343,2847
2012,1134,R,M,1336,4367,4664,4563,4304,6155,6999,6231,6049,6021,7454,9858,8276,5950,2120,3158,2218,1182,370
2012,1134,R,F,1210,4157,4435,4248,3880,5270,5880,5884,6150,6122,7644,9969,9217,7240,3017,6492,5135,4161,2477
2012,1138,T,B,13133,47070,50509,49070,56762,75675,86458,77960,77425,72836,80696,99312,89200,72354,34393,55976,36816,28533,15423
2012,1138,T,M,6722,23996,25895,25133,28726,37328,43341,38263,37287,34918,38272,46381,39436,29919,12803,17878,10988,7100,2713
2012,1138,T,F,6412,23074,24614,23937,28037,38348,43118,39697,40139,37919,42424,52931,49765,42435,21590,38099,25828,21433,12711
