Year,Reg,PopD5a0,PopD5a1,PopD5a5,PopD5a10,PopD5a15,PopD5a20,PopD5a25,PopD5a30,PopD5a35,PopD5a40,PopD5a45,PopD5a50,PopD5a55,PopD5a60,PopD5a65,PopD5a70,PopD5a75,PopD5a80,PopD5a85
2012,Белгородская область,1.1324169705978273,4.300533888053719,4.687079753182345,4.226278102534052,5.276188644776694,7.474042957913926,8.441057277651671,7.42694283149069,6.989593795516588,6.434591892021824,7.066513174392604,8.431702218058643,7.490869072043053,6.352280360741493,2.9087089108241937,4.88100234266284,2.887270232590169,2.2936787082741605,1.2992488666735098
2012,Брянская область,1.124668215721984,4.4146486683715285,4.798759271875107,4.399068023030737,5.296544991895679,7.197224737295215,8.108771982819954,7.259626811746853,6.965899849837556,6.710011598041608,7.154457455696514,8.36879387521652,7.440553081112363,6.2209701177531125,2.8984769919179376,4.492551895075483,3.1342534923301093,2.620887126968746,1.3938318132929932
2012,Владимирская область,1.112121742172468,4.146650341087983,4.63536820010495,4.1230715410180165,4.561413328668882,7.134930907818786,8.107958719608186,7.437677103375896,7.057407731327619,6.459821584747245,6.900892076263775,8.4055973412629,7.882595767010669,6.675948924260975,3.290397061395837,4.991708938254329,3.3406331992303655,2.3953122266923215,1.3404932656987931
2012,Воронежская область,1.0498917186639987,3.8710363286882954,4.2140129594669435,4.023341786650617,5.123130367985076,7.729426974826947,8.201303834170949,7.189820697081462,6.829611644658892,6.40385937658071,6.932491773876334,8.41765217257113,7.603270216374058,6.484791744898431,3.154904895893883,5.206034605446131,3.32139923834411,2.7448847142418678,1.4991349495801634
2012,Ивановская область,1.0074387075209768,4.096508778096277,4.600180245236958,4.0360758638985645,4.609853342438177,7.627763895978769,8.038726867171137,7.299932096773112,7.173032554281877,6.624539211000897,6.909464598858575,8.009611802327864,7.795175518827582,6.744543080239778,3.109948636811594,4.9802084600333485,3.4260961007840955,2.5323402286873415,1.3785600110330773
2012,Калужская область,1.143697498857386,4.103363225165876,4.5525287229515685,4.155765866574207,4.592421711241745,7.256091314557691,8.486174370774298,7.616113221225827,7.033478589777939,6.5404800554758795,7.032296575310082,8.528529889205844,7.745740807867488,6.5245228601598075,3.1934090873272285,4.742734551070906,3.0917558430915193,2.3468897259302453,1.3140060834344613
2012,Костромская область,1.2116275906963383,4.6087385717494715,5.0268257313087075,4.439731116167412,4.590707034897136,6.758922936573305,7.966271857508072,7.389109868598995,6.938627066559293,6.293770409636787,6.968883374158974,8.924693884100005,8.046496915537531,6.4985353196548346,2.773189244035458,4.652594936805576,3.307564535328823,2.3158300084503725,1.2878795982329094
2012,Курская область,1.1730071695184265,4.204176309238738,4.511339307485435,4.382811376552897,5.069841845443154,6.7591043594995,7.7222153249237895,6.963194923905927,6.9154100433993895,6.505531881447051,7.207567695991697,8.870302902551892,7.967124002211502,6.462480830224339,3.0718979350679394,4.999638263988689,3.2883143191190434,2.548497187837453,1.3775443215931389
2012,Липецкая область,1.1159390988187803,4.256434683380338,4.80609423028816,4.330796355250037,4.873602291847288,6.753204919521481,8.151598433264683,7.232614960745947,7.059646970532903,6.7061720187651845,7.129810806087376,8.63983249776401,7.667390864822816,6.4187487363655995,3.104342790173294,4.951476439001155,3.1230188782696002,2.393366390580398,1.2859086345209496
2012,Московская область,1.2402006227798754,4.153474485287895,4.578636520296398,4.167282442307689,4.494490009943096,7.539882780014773,8.86324558353862,8.509133006581473,7.779539697397938,6.930719464284079,6.941929884834804,7.970444956630026,7.217719901627192,6.013761748213134,3.1362245190216917,4.422551920994425,2.8274047753383873,2.064631355573623,1.1487263253348805
2012,Орловская область,1.0773377341975685,4.14174792970442,4.600985310316196,4.261923398742206,5.216386535720391,7.328775662603835,7.583393421067852,7.101020656042384,6.864268555542274,6.474437328171572,6.966449836702745,8.55893546384518,8.003300648176353,6.778024983644569,3.0663381442079922,4.826812368176507,3.225458177008826,2.5631435332102015,1.3612603129189271
2012,Рязанская область,1.0454566829980267,3.873022950408516,4.267779730419349,3.9793538633565038,4.778533870009806,7.318893461824502,7.776438602388571,7.096478104192102,6.87981036347581,6.6711544524001525,6.817457428446523,8.327948571020515,7.801693282777528,6.880768299628495,3.400934597344601,5.4336751133412635,3.556033168974712,2.575803229464026,1.518764227528995
2012,Смоленская область,1.042926844284373,3.9919348632466796,4.348812034087003,3.8891197611241943,4.7455018392821415,7.562963989061787,8.419140847455019,7.566657944826666,7.0682817462149785,6.549691400778809,7.130565944806144,8.724405247469385,8.06667590155608,6.69827051043286,3.0395099352018593,4.312898575261784,2.919764202490342,2.433188140349797,1.489690272070103
2012,Тамбовская область,0.8928728668791716,3.61542604022516,4.27333236318876,4.174433230108715,5.003350706336311,7.121849849426765,7.564995824361813,6.873443404577166,6.941013665135136,6.64978491524057,7.287670420261068,8.721012682632033,7.855297684536791,6.833957902522715,3.248006955380456,5.3308208442667695,3.360438678366487,2.696692950169482,1.5555990163846296
2012,Тверская область,1.124892527382154,4.1535643527344766,4.588463982654854,4.148031849276663,4.547344024522448,6.984337034129565,8.057044596463683,7.298568277821389,6.9163769578707335,6.350117752607379,6.898957048334642,8.443572202908301,7.956188553698927,6.800942020859033,3.1616761990205973,4.966692833912751,3.3738551829838133,2.6879742813352774,1.541400321483309
2012,Тульская область,0.969941133804556,3.6535699186371695,4.096456262791729,3.86373245036195,4.474179939465951,6.853199112029365,7.979905591706758,7.4816180510932195,7.361765287691884,6.709492157853976,6.653121278843208,8.202867933115176,7.99399831145945,7.188644629445509,3.4799320963631732,5.329052077124671,3.423496571848952,2.738448171760517,1.5465790246027857
