date,region,total_accounts,total_in_credit_org,clients-legal entities that are not credit institutions,individual clients,"The number of accounts opened by institutions of the banking system, per 1 resident, units."
01.01.2010,Алтайский край,"5 937,4","5 935,4","63,7","5 871,7","2,4"
01.01.2010,Амурская область,"2 774,8","2 774,2","29,7","2 744,5","3,2"
01.01.2010,Архангельская область,"3 864,2","3 863,4","45,1","3 818,3","3,1"
01.01.2010,Астраханская область,"2 688,1","2 687,6","32,3","2 655,3","2,7"
01.01.2010,Белгородская область,"4 444,1","4 443,4",50,"4 393,4","2,9"
01.01.2010,Брянская область,"3 705,8","3 705,1","32,1","3 672,9","2,9"
01.01.2010,Владимирская область,"4 719,4","4 718,7","49,7","4 669,0","3,3"
01.01.2010,Волгоградская область,"6 787,2","6 785,7","78,5","6 707,2","2,6"
01.01.2010,Вологодская область,"3 605,1","3 604,4","53,5","3 550,9",3
01.01.2010,Воронежская область,"7 861,7","7 860,7","89,1","7 771,6","3,5"
01.01.2010,Еврейская автономная область,377,"376,9","4,9","371,9",2
01.01.2010,Забайкальский край,"2 621,0","2 620,0","22,3","2 597,7","2,3"
01.01.2010,Ивановская область,"2 764,5","2 763,9","38,7","2 725,2","2,6"
01.01.2010,Иркутская область,"7 891,6","7 890,6","75,9","7 814,7","3,1"
01.01.2010,Кабардино-Балкарская Республика,"1 575,4","1 575,1","16,8","1 558,3","1,8"
01.01.2010,Калининградская область,"1 712,3","1 712,2","71,8","1 640,3","1,8"
01.01.2010,Калужская область,"2 656,0","2 655,5",39,"2 616,5","2,6"
01.01.2010,Камчатский край,"1 164,8","1 164,5","20,7","1 143,9","3,4"
01.01.2010,Карачаево-Черкесская Республика,"823,6","823,4","9,6","813,8","1,9"
01.01.2010,Кемеровская область,"8 837,9","8 837,0",70,"8 767,0","3,1"
01.01.2010,Кировская область,"3 713,8","3 713,1","56,4","3 656,7","2,7"
01.01.2010,Костромская область,"1 866,9","1 866,1","28,3","1 837,7","2,7"
01.01.2010,Краснодарский край,"13 280,8","13 279,6","221,2","13 058,5","2,6"
01.01.2010,Красноярский край,"8 900,4","8 899,0","89,9","8 809,1","3,1"
01.01.2010,Курганская область,"2 224,1","2 223,4","20,1","2 203,3","2,3"
01.01.2010,Курская область,"3 946,7","3 945,7","35,3","3 910,4","3,4"
01.01.2010,Ленинградская область,"2 583,2","2 582,8","37,8","2 545,0","1,6"
01.01.2010,Липецкая область,"3 564,0","3 563,1","35,1","3 528,0","3,1"
01.01.2010,Магаданская область,"746,1","745,9","10,2","735,7","4,6"
01.01.2010,г. Москва и Московская область,"148 153,8","148 149,5","1 661,8","146 487,7","8,6"
01.01.2010,Мурманская область,"1 992,6","1 992,4","26,7","1 965,7","2,4"
01.01.2010,Нижегородская область,"11 152,1","11 150,9","148,5","11 002,5","3,3"
01.01.2010,Новгородская область,"1 205,4","1 205,0","21,7","1 183,4","1,9"
01.01.2010,Новосибирская область,"9 343,5","9 342,4",168,"9 174,4","3,5"
01.01.2010,Омская область,"4 852,5","4 851,6","65,5","4 786,1","2,4"
01.01.2010,Оренбургская область,"5 932,4","5 931,4","48,9","5 882,5","2,8"
01.01.2010,Орловская область,"2 269,1","2 268,5","23,3","2 245,2","2,8"
01.01.2010,Пензенская область,"3 582,4","3 581,7","42,9","3 538,8","2,6"
01.01.2010,Пермский край,"7 347,2","7 346,6","108,7","7 237,9","2,7"
01.01.2010,Приморский край,"5 676,7","5 676,1","84,9","5 591,1","2,9"
01.01.2010,Псковская область,"1 158,6","1 158,2","19,9","1 138,3","1,7"
01.01.2010,Республика Адыгея (Адыгея),"872,7","872,5","11,1","861,4",2
01.01.2010,Республика Алтай,"415,3","414,9",8,"406,9",2
01.01.2010,Республика Башкортостан,"12 654,1","12 653,0","113,5","12 539,5","3,1"
01.01.2010,Республика Бурятия,"2 695,3","2 694,6","31,6","2 663,0","2,8"
01.01.2010,Республика Дагестан,"1 699,4","1 697,2","40,7","1 656,5","0,6"
01.01.2010,Республика Ингушетия,"316,4","316,3","8,1","308,1","0,6"
01.01.2010,Республика Калмыкия,"668,7","668,4","11,5","656,8","2,4"
01.01.2010,Республика Карелия,"1 246,7","1 246,3","22,3","1 224,0","1,8"
01.01.2010,Республика Коми,"2 588,6","2 587,9","32,8","2 555,2","2,7"
01.01.2010,Республика Марий Эл,"1 603,8","1 603,2","17,1","1 586,1","2,3"
01.01.2010,Республика Мордовия,"2 649,9","2 649,0","20,1","2 629,0","3,2"
01.01.2010,Республика Саха (Якутия),"2 964,3","2 963,5","50,5","2 913,1","3,1"
01.01.2010,Республика Северная Осетия-Алания,"1 525,7","1 525,3","14,4","1 510,9","2,2"
01.01.2010,Республика Татарстан (Татарстан),"12 463,7","12 462,5","167,5","12 295,0","3,3"
01.01.2010,Республика Тыва,"541,6","541,3","6,5","534,8","1,7"
01.01.2010,Республика Хакасия,"1 468,1","1 467,8","19,8","1 447,9","2,7"
01.01.2010,Ростовская область,"11 725,5","11 723,7","164,7","11 559,0","2,8"
01.01.2010,Рязанская область,"3 238,6","3 237,8","43,9","3 193,9","2,8"
01.01.2010,Самарская область,"15 306,9","15 306,1","148,5","15 157,6","4,8"
01.01.2010,г. Санкт-Петербург,"17 975,7","17 975,4","410,7","17 564,7","3,9"
01.01.2010,Саратовская область,"6 941,6","6 940,7","73,2","6 867,5","2,7"
01.01.2010,Сахалинская область,"1 622,0","1 621,8","26,3","1 595,5","3,2"
01.01.2010,Свердловская область,"14 689,0","14 688,4","243,8","14 444,6","3,3"
01.01.2010,Смоленская область,"2 481,0","2 480,4",34,"2 446,4","2,5"
01.01.2010,Ставропольский край,"6 423,8","6 423,2","81,6","6 341,6","2,4"
01.01.2010,Тамбовская область,"2 769,0","2 768,2","21,4","2 746,8","2,5"
01.01.2010,Тверская область,"2 501,4","2 500,3","49,8","2 450,5","1,8"
01.01.2010,Томская область,"2 896,3","2 895,8","43,5","2 852,3","2,8"
01.01.2010,Тульская область,"4 470,4","4 469,7","50,8","4 418,9","2,9"
01.01.2010,Тюменская область,"14 029,5","14 027,7","156,2","13 871,5","4,1"
01.01.2010,Удмуртская Республика,"4 268,6","4 268,2","53,5","4 214,7","2,8"
01.01.2010,Ульяновская область,"3 625,3","3 624,8","32,3","3 592,4","2,8"
01.01.2010,Хабаровский край,"5 095,0","5 094,4","62,1","5 032,3","3,6"
01.01.2010,Челябинская область,"10 657,8","10 657,1","135,9","10 521,2",3
01.01.2010,Чеченская Республика,"219,8","219,8","9,5","210,3","0,2"
01.01.2010,Чувашская Республика - Чувашия,"3 257,6","3 257,0","37,6","3 219,4","2,5"
01.01.2010,Чукотский автономный округ,"243,8","243,6","1,6",242,"4,9"
01.01.2010,Ярославская область,"3 989,2","3 988,8","63,9","3 924,9",3
01.04.2010,Алтайский край,"6 047,1","6 045,1","63,5","5 981,5","2,4"
01.04.2010,Амурская область,"2 811,3","2 810,6",27,"2 783,7","3,3"
01.04.2010,Архангельская область,"3 897,6","3 896,8",46,"3 850,8","3,1"
01.04.2010,Астраханская область,"2 580,7","2 580,2","32,3","2 547,9","2,6"
01.04.2010,Белгородская область,"4 481,1","4 480,4","50,5","4 429,9","2,9"
01.04.2010,Брянская область,"3 696,0","3 695,2","30,9","3 664,3","2,9"
01.04.2010,Владимирская область,"4 783,2","4 782,4","50,7","4 731,8","3,3"
01.04.2010,Волгоградская область,"6 884,3","6 882,7","76,6","6 806,1","2,7"
01.04.2010,Вологодская область,"3 706,8","3 706,2","55,1","3 651,0","3,1"
01.04.2010,Воронежская область,"8 098,9","8 097,9",90,"8 007,9","3,6"
01.04.2010,Еврейская автономная область,"381,7","381,6","4,9","376,7","2,1"
01.04.2010,Забайкальский край,"2 596,6","2 595,6","22,1","2 573,5","2,3"
01.04.2010,Ивановская область,"2 701,9","2 701,3","38,4","2 662,9","2,5"
01.04.2010,Иркутская область,"8 081,2","8 080,2","75,6","8 004,7","3,2"
01.04.2010,Кабардино-Балкарская Республика,"1 613,5","1 613,2","17,1","1 596,1","1,8"
01.04.2010,Калининградская область,"1 726,2","1 726,0","72,1","1 653,9","1,8"
01.04.2010,Калужская область,"2 726,1","2 725,5","38,7","2 686,8","2,7"
01.04.2010,Камчатский край,"1 149,6","1 149,4","20,6","1 128,7","3,4"
01.04.2010,Карачаево-Черкесская Республика,"835,9","835,7","9,8","825,9",2
01.04.2010,Кемеровская область,"8 810,2","8 809,4","69,7","8 739,7","3,1"
01.04.2010,Кировская область,"3 767,1","3 766,4","56,2","3 710,3","2,7"
01.04.2010,Костромская область,"1 877,1","1 876,3",28,"1 848,3","2,7"
01.04.2010,Краснодарский край,"13 510,4","13 509,2","225,1","13 284,1","2,6"
01.04.2010,Красноярский край,"8 612,6","8 611,2",91,"8 520,2",3
01.04.2010,Курганская область,"2 268,4","2 267,8","20,7","2 247,0","2,4"
01.04.2010,Курская область,"3 961,9","3 960,9","35,3","3 925,6","3,4"
01.04.2010,Ленинградская область,"2 600,7","2 600,4","37,2","2 563,2","1,6"
01.04.2010,Липецкая область,"3 156,1","3 155,3","35,8","3 119,5","2,7"
01.04.2010,Магаданская область,"750,8","750,6","10,2","740,5","4,7"
01.04.2010,г. Москва и Московская область,"146 010,0","146 005,8","1 666,0","144 339,8","8,4"
01.04.2010,Мурманская область,"2 022,3","2 022,0",27,"1 995,0","2,4"
01.04.2010,Нижегородская область,"11 037,7","11 036,7","147,9","10 888,9","3,3"
01.04.2010,Новгородская область,"1 215,4","1 215,0",22,"1 193,0","1,9"
01.04.2010,Новосибирская область,"10 267,7","10 266,7","167,8","10 098,9","3,9"
01.04.2010,Омская область,"4 497,9","4 497,0","65,9","4 431,1","2,2"
01.04.2010,Оренбургская область,"5 845,1","5 844,0","46,1","5 797,9","2,8"
01.04.2010,Орловская область,"2 327,4","2 326,8","23,1","2 303,6","2,9"
01.04.2010,Пензенская область,"3 543,5","3 542,7","43,2","3 499,5","2,6"
01.04.2010,Пермский край,"7 427,5","7 426,5","109,5","7 317,0","2,7"
01.04.2010,Приморский край,"5 734,1","5 733,5","85,1","5 648,4","2,9"
01.04.2010,Псковская область,"1 170,2","1 169,8","19,9","1 149,9","1,7"
01.04.2010,Республика Адыгея (Адыгея),"870,8","870,6","11,7","858,9",2
01.04.2010,Республика Алтай,426,"425,6","8,1","417,6",2
01.04.2010,Республика Башкортостан,"12 872,1","12 871,1","114,5","12 756,6","3,2"
01.04.2010,Республика Бурятия,"2 862,5","2 861,7","29,2","2 832,6",3
01.04.2010,Республика Дагестан,"1 762,1","1 760,0","41,3","1 718,7","0,6"
01.04.2010,Республика Ингушетия,"327,4","327,3","8,3","318,9","0,6"
01.04.2010,Республика Калмыкия,"142,8","142,5","12,1","130,4","0,5"
01.04.2010,Республика Карелия,"1 254,0","1 253,6","22,4","1 231,1","1,8"
01.04.2010,Республика Коми,"2 566,6","2 566,0",33,"2 533,0","2,7"
01.04.2010,Республика Марий Эл,"1 598,0","1 597,5",17,"1 580,4","2,3"
01.04.2010,Республика Мордовия,"2 684,1","2 683,2","19,9","2 663,3","3,2"
01.04.2010,Республика Саха (Якутия),"2 990,4","2 989,7","50,9","2 938,8","3,1"
01.04.2010,Республика Северная Осетия-Алания,"1 550,0","1 549,6","16,2","1 533,4","2,2"
01.04.2010,Республика Татарстан (Татарстан),"13 302,0","13 300,8","169,6","13 131,2","3,5"
01.04.2010,Республика Тыва,"558,9","558,6","6,5","552,1","1,8"
01.04.2010,Республика Хакасия,"1 467,2","1 466,9","20,1","1 446,8","2,7"
01.04.2010,Ростовская область,"12 120,1","12 118,4","169,6","11 948,7","2,9"
01.04.2010,Рязанская область,"3 286,8","3 286,0","43,4","3 242,6","2,9"
01.04.2010,Самарская область,"15 890,6","15 889,7",150,"15 739,8",5
01.04.2010,г. Санкт-Петербург,"18 250,7","18 250,4","416,5","17 833,9",4
01.04.2010,Саратовская область,"7 129,2","7 128,3","73,9","7 054,4","2,8"
01.04.2010,Сахалинская область,"1 648,3","1 648,0","27,9","1 620,1","3,2"
01.04.2010,Свердловская область,"14 897,1","14 896,5","248,1","14 648,4","3,4"
01.04.2010,Смоленская область,"1 716,4","1 715,8","34,1","1 681,7","1,8"
01.04.2010,Ставропольский край,"6 275,9","6 275,2","81,8","6 193,4","2,3"
01.04.2010,Тамбовская область,"2 950,0","2 949,2","21,1","2 928,1","2,7"
01.04.2010,Тверская область,"2 501,1","2 500,0","48,6","2 451,4","1,8"
01.04.2010,Томская область,"2 953,6","2 953,1",43,"2 910,1","2,8"
01.04.2010,Тульская область,"3 273,1","3 272,4","50,1","3 222,3","2,1"
01.04.2010,Тюменская область,"14 271,2","14 269,4","161,6","14 107,8","4,2"
01.04.2010,Удмуртская Республика,"4 377,7","4 377,3","55,3","4 322,0","2,9"
01.04.2010,Ульяновская область,"3 658,2","3 657,7","33,3","3 624,4","2,8"
01.04.2010,Хабаровский край,"5 269,7","5 269,1","63,7","5 205,4","3,8"
01.04.2010,Челябинская область,"10 808,5","10 807,8","137,3","10 670,5","3,1"
01.04.2010,Чеченская Республика,260,260,"9,7","250,3","0,2"
01.04.2010,Чувашская Республика - Чувашия,"3 286,7","3 286,2","37,2","3 249,0","2,6"
01.04.2010,Чукотский автономный округ,"249,8","249,5","1,6",248,"5,1"
01.04.2010,Ярославская область,"4 056,6","4 056,1","63,3","3 992,8","3,1"
01.07.2010,Алтайский край,"6 210,3","6 208,3","66,2","6 142,1","2,5"
01.07.2010,Амурская область,"2 885,5","2 884,8","27,5","2 857,3","3,4"
01.07.2010,Архангельская область,"3 940,7","3 939,9","45,4","3 894,5","3,1"
01.07.2010,Астраханская область,"2 310,5","2 310,1","30,8","2 279,3","2,3"
01.07.2010,Белгородская область,"4 545,0","4 544,3","51,2","4 493,1",3
01.07.2010,Брянская область,"3 680,0","3 679,2","30,3","3 648,9","2,8"
01.07.2010,Владимирская область,"4 840,5","4 839,8","51,4","4 788,4","3,4"
01.07.2010,Волгоградская область,"6 848,5","6 847,0","77,7","6 769,3","2,6"
01.07.2010,Вологодская область,"3 742,1","3 741,5","55,3","3 686,2","3,1"
01.07.2010,Воронежская область,"8 015,7","8 014,8","89,5","7 925,2","3,5"
01.07.2010,Еврейская автономная область,"385,9","385,7",5,"380,8","2,1"
01.07.2010,Забайкальский край,"2 631,1","2 630,1","21,5","2 608,5","2,4"
01.07.2010,Ивановская область,"2 725,7","2 725,2","38,2","2 687,0","2,6"
01.07.2010,Иркутская область,"8 197,4","8 196,4","77,7","8 118,7","3,3"
01.07.2010,Кабардино-Балкарская Республика,"1 671,6","1 671,4","17,2","1 654,1","1,9"
01.07.2010,Калининградская область,"1 742,0","1 741,8","73,1","1 668,7","1,9"
01.07.2010,Калужская область,"2 789,0","2 788,5","38,6","2 749,9","2,8"
01.07.2010,Камчатский край,"1 124,2","1 123,9","19,9","1 104,0","3,3"
01.07.2010,Карачаево-Черкесская Республика,"850,1","849,9",10,"839,9",2
01.07.2010,Кемеровская область,"8 805,3","8 804,4","69,7","8 734,8","3,1"
01.07.2010,Кировская область,"3 837,3","3 836,7","56,3","3 780,4","2,8"
01.07.2010,Костромская область,"1 918,5","1 917,8","28,2","1 889,6","2,8"
01.07.2010,Краснодарский край,"14 661,5","14 660,3",277,"14 383,3","2,8"
01.07.2010,Красноярский край,"9 000,0","8 998,7","91,6","8 907,0","3,1"
01.07.2010,Курганская область,"2 295,3","2 294,6","20,7","2 274,0","2,4"
01.07.2010,Курская область,"4 016,0","4 015,1","34,9","3 980,2","3,5"
01.07.2010,Ленинградская область,"2 623,5","2 623,2",38,"2 585,2","1,6"
01.07.2010,Липецкая область,"2 902,2","2 901,4","37,4","2 864,0","2,5"
01.07.2010,Магаданская область,"764,3","764,1",10,"754,2","4,7"
01.07.2010,г. Москва и Московская область,"151 117,3","151 113,2","1 707,9","149 405,3","8,7"
01.07.2010,Мурманская область,"2 020,7","2 020,4","26,5","1 993,9","2,4"
01.07.2010,Нижегородская область,"11 249,3","11 248,4","151,3","11 097,0","3,4"
01.07.2010,Новгородская область,"1 231,7","1 231,3","22,4","1 208,9","1,9"
01.07.2010,Новосибирская область,"10 479,9","10 478,9","169,2","10 309,8",4
01.07.2010,Омская область,"4 725,5","4 724,6","64,2","4 660,5","2,3"
01.07.2010,Оренбургская область,"5 897,2","5 896,1","46,2","5 849,9","2,8"
01.07.2010,Орловская область,"2 338,8","2 338,1","22,8","2 315,3","2,9"
01.07.2010,Пензенская область,"3 710,7","3 710,0","43,1","3 666,9","2,7"
01.07.2010,Пермский край,"7 381,5","7 380,6","107,2","7 273,3","2,7"
01.07.2010,Приморский край,"5 359,0","5 358,3","86,8","5 271,5","2,7"
01.07.2010,Псковская область,"1 181,4","1 181,0",20,"1 161,0","1,7"
01.07.2010,Республика Адыгея (Адыгея),"879,9","879,7","11,5","868,2",2
01.07.2010,Республика Алтай,"438,2","437,8","8,1","429,7","2,1"
01.07.2010,Республика Башкортостан,"13 083,1","13 082,0","115,9","12 966,1","3,2"
01.07.2010,Республика Бурятия,"2 868,1","2 867,4","31,8","2 835,6",3
01.07.2010,Республика Дагестан,"1 827,2","1 825,2","42,2","1 783,0","0,7"
01.07.2010,Республика Ингушетия,"314,2","314,1",8,"306,1","0,6"
01.07.2010,Республика Калмыкия,"657,1","656,7","12,4","644,3","2,3"
01.07.2010,Республика Карелия,"1 261,4","1 261,0","22,6","1 238,5","1,8"
01.07.2010,Республика Коми,"2 620,6","2 619,9","33,3","2 586,6","2,8"
01.07.2010,Республика Марий Эл,"1 632,7","1 632,2","16,2","1 615,9","2,3"
01.07.2010,Республика Мордовия,"2 710,8","2 709,9",20,"2 689,9","3,3"
01.07.2010,Республика Саха (Якутия),"3 040,8","3 040,1","51,6","2 988,5","3,2"
01.07.2010,Республика Северная Осетия-Алания,"1 580,6","1 580,3","14,6","1 565,7","2,3"
01.07.2010,Республика Татарстан (Татарстан),"13 462,9","13 461,7","170,5","13 291,2","3,6"
01.07.2010,Республика Тыва,"580,8","580,4","6,7","573,8","1,8"
01.07.2010,Республика Хакасия,"1 448,9","1 448,6","19,8","1 428,8","2,7"
01.07.2010,Ростовская область,"12 100,5","12 098,7","167,6","11 931,1","2,9"
01.07.2010,Рязанская область,"3 369,0","3 368,2","43,8","3 324,4","2,9"
01.07.2010,Самарская область,"14 352,8","14 352,0","152,2","14 199,8","4,5"
01.07.2010,г. Санкт-Петербург,"18 793,4","18 793,1","425,4","18 367,7","4,1"
01.07.2010,Саратовская область,"7 283,1","7 282,2","74,6","7 207,6","2,8"
01.07.2010,Сахалинская область,"1 676,7","1 676,5","26,5","1 650,0","3,3"
01.07.2010,Свердловская область,"15 075,7","15 075,1","256,1","14 819,0","3,4"
01.07.2010,Смоленская область,"2 253,0","2 252,4","33,2","2 219,2","2,3"
01.07.2010,Ставропольский край,"7 162,3","7 161,7","83,1","7 078,6","2,6"
01.07.2010,Тамбовская область,"2 948,0","2 947,2","20,8","2 926,3","2,7"
01.07.2010,Тверская область,"2 546,9","2 545,8","49,2","2 496,5","1,9"
01.07.2010,Томская область,"2 991,6","2 991,1","43,4","2 947,7","2,9"
01.07.2010,Тульская область,"3 177,1","3 176,5","50,2","3 126,3","2,1"
01.07.2010,Тюменская область,"14 383,1","14 381,4","160,2","14 221,2","4,2"
01.07.2010,Удмуртская Республика,"4 502,7","4 502,2","51,6","4 450,6","2,9"
01.07.2010,Ульяновская область,"3 726,9","3 726,4","35,4","3 691,1","2,9"
01.07.2010,Хабаровский край,"5 307,7","5 307,1","66,3","5 240,8","3,8"
01.07.2010,Челябинская область,"10 965,9","10 965,2","138,2","10 827,0","3,1"
01.07.2010,Чеченская Республика,"334,2","334,2","10,4","323,8","0,3"
01.07.2010,Чувашская Республика - Чувашия,"3 579,5","3 579,0","37,3","3 541,7","2,8"
01.07.2010,Чукотский автономный округ,"206,6","206,4","0,8","205,6","4,3"
01.07.2010,Ярославская область,"4 090,4","4 089,9","63,3","4 026,7","3,1"
01.10.2010,Алтайский край,"6 292,4","6 290,4","67,5","6 222,9","2,5"
01.10.2010,Амурская область,"2 935,3","2 934,6","28,7","2 905,9","3,4"
01.10.2010,Архангельская область,"3 802,3","3 801,5","44,5","3 757,0",3
01.10.2010,Астраханская область,"2 474,0","2 473,6","31,1","2 442,5","2,5"
01.10.2010,Белгородская область,"4 606,7","4 606,0","52,5","4 553,6",3
01.10.2010,Брянская область,"3 625,2","3 624,4",31,"3 593,4","2,8"
01.10.2010,Владимирская область,"4 405,2","4 404,5","51,9","4 352,6","3,1"
01.10.2010,Волгоградская область,"6 989,4","6 987,9",78,"6 910,0","2,7"
01.10.2010,Вологодская область,"3 668,2","3 667,5","55,3","3 612,2",3
01.10.2010,Воронежская область,"8 289,6","8 288,7","91,8","8 196,8","3,7"
01.10.2010,Еврейская автономная область,"392,3","392,2",5,"387,2","2,1"
01.10.2010,Забайкальский край,"2 711,3","2 710,2","22,1","2 688,2","2,4"
01.10.2010,Ивановская область,"2 852,8","2 852,3","38,5","2 813,7","2,7"
01.10.2010,Иркутская область,"8 373,3","8 372,3","78,9","8 293,5","3,3"
01.10.2010,Кабардино-Балкарская Республика,"1 560,5","1 560,2","17,2","1 543,0","1,7"
01.10.2010,Калининградская область,"1 743,6","1 743,4","71,6","1 671,9","1,9"
01.10.2010,Калужская область,"3 026,3","3 025,7","38,5","2 987,2",3
01.10.2010,Камчатский край,"1 225,0","1 224,8","20,2","1 204,6","3,6"
01.10.2010,Карачаево-Черкесская Республика,"865,1","864,9","10,2","854,7",2
01.10.2010,Кемеровская область,"9 191,3","9 190,5","70,3","9 120,2","3,3"
01.10.2010,Кировская область,"3 927,0","3 926,3","56,2","3 870,1","2,8"
01.10.2010,Костромская область,"1 914,3","1 913,6",28,"1 885,6","2,8"
01.10.2010,Краснодарский край,"14 158,1","14 156,9","234,4","13 922,5","2,7"
01.10.2010,Красноярский край,"9 358,1","9 356,7","95,3","9 261,5","3,2"
01.10.2010,Курганская область,"2 329,6","2 328,9",21,"2 307,9","2,5"
01.10.2010,Курская область,"4 056,5","4 055,5","35,1","4 020,4","3,5"
01.10.2010,Ленинградская область,"2 238,9","2 238,5","37,1","2 201,5","1,4"
01.10.2010,Липецкая область,"2 787,6","2 786,8","38,8","2 748,0","2,4"
01.10.2010,Магаданская область,"766,7","766,5","9,8","756,7","4,8"
01.10.2010,г. Москва и Московская область,"156 766,4","156 762,2","1 724,0","155 038,3","9,1"
01.10.2010,Мурманская область,"2 050,7","2 050,5","26,2","2 024,3","2,5"
01.10.2010,Нижегородская область,"11 495,6","11 494,6","154,4","11 340,2","3,5"
01.10.2010,Новгородская область,"1 273,4","1 273,0",23,"1 250,0",2
01.10.2010,Новосибирская область,"10 988,5","10 987,4","173,9","10 813,6","4,1"
01.10.2010,Омская область,"4 993,7","4 992,8","65,6","4 927,2","2,5"
01.10.2010,Оренбургская область,"5 854,8","5 853,4","47,3","5 806,0","2,8"
01.10.2010,Орловская область,"2 358,2","2 357,3","22,8","2 334,5","2,9"
01.10.2010,Пензенская область,"3 728,7","3 727,9","43,7","3 684,2","2,7"
01.10.2010,Пермский край,"5 933,9","5 933,0","110,3","5 822,6","2,2"
01.10.2010,Приморский край,"5 982,9","5 982,3","88,5","5 893,7",3
01.10.2010,Псковская область,"1 207,9","1 207,5","20,1","1 187,4","1,8"
01.10.2010,Республика Адыгея (Адыгея),"909,4","909,2","11,7","897,5","2,1"
01.10.2010,Республика Алтай,454,"453,5","8,1","445,5","2,2"
01.10.2010,Республика Башкортостан,"13 396,2","13 395,1","116,8","13 278,3","3,3"
01.10.2010,Республика Бурятия,"2 899,8","2 899,1","32,4","2 866,6",3
01.10.2010,Республика Дагестан,"1 888,6","1 886,4","42,9","1 843,5","0,7"
01.10.2010,Республика Ингушетия,"351,5","351,4","27,8","323,6","0,7"
01.10.2010,Республика Калмыкия,"677,8","677,3",14,"663,4","2,4"
01.10.2010,Республика Карелия,"1 284,8","1 284,4","24,3","1 260,1","1,9"
01.10.2010,Республика Коми,"2 543,8","2 543,2","33,9","2 509,4","2,7"
01.10.2010,Республика Марий Эл,"1 673,6","1 673,1","16,5","1 656,6","2,4"
01.10.2010,Республика Мордовия,"2 739,6","2 738,7","19,9","2 718,8","3,3"
01.10.2010,Республика Саха (Якутия),"3 092,0","3 091,3","50,2","3 041,1","3,3"
01.10.2010,Республика Северная Осетия-Алания,"1 597,2","1 596,9","14,9","1 581,9","2,3"
01.10.2010,Республика Татарстан (Татарстан),"13 786,2","13 785,0","173,4","13 611,6","3,6"
01.10.2010,Республика Тыва,"596,8","596,5","6,9","589,6","1,9"
01.10.2010,Республика Хакасия,"1 452,0","1 451,7","20,4","1 431,3","2,7"
01.10.2010,Ростовская область,"12 487,1","12 485,2","173,9","12 311,3",3
01.10.2010,Рязанская область,"3 441,6","3 440,8","44,2","3 396,6",3
01.10.2010,Самарская область,"15 272,5","15 271,7","152,4","15 119,3","4,8"
01.10.2010,г. Санкт-Петербург,"19 419,5","19 419,2","411,5","19 007,7","4,2"
01.10.2010,Саратовская область,"7 452,8","7 451,9","76,4","7 375,5","2,9"
01.10.2010,Сахалинская область,"1 704,4","1 704,2","27,8","1 676,3","3,3"
01.10.2010,Свердловская область,"15 580,1","15 579,5","257,8","15 321,7","3,5"
01.10.2010,Смоленская область,"1 415,2","1 414,5","33,5","1 381,0","1,5"
01.10.2010,Ставропольский край,"7 602,9","7 602,3","83,7","7 518,5","2,8"
01.10.2010,Тамбовская область,"2 984,3","2 983,5","19,8","2 963,6","2,7"
01.10.2010,Тверская область,"2 586,0","2 584,9","48,9","2 536,0","1,9"
01.10.2010,Томская область,"3 052,0","3 051,4","44,7","3 006,7","2,9"
01.10.2010,Тульская область,"3 285,0","3 284,3","48,9","3 235,4","2,1"
01.10.2010,Тюменская область,"14 552,4","14 550,7","163,8","14 386,9","4,2"
01.10.2010,Удмуртская Республика,"3 666,5","3 666,1","55,9","3 610,1","2,4"
01.10.2010,Ульяновская область,"3 783,9","3 783,4","35,1","3 748,3","2,9"
01.10.2010,Хабаровский край,"5 534,7","5 534,0",68,"5 466,0",4
01.10.2010,Челябинская область,"11 189,3","11 188,6","141,2","11 047,5","3,2"
01.10.2010,Чеченская Республика,"359,6","359,6","10,6",349,"0,3"
01.10.2010,Чувашская Республика - Чувашия,"3 580,5","3 579,9","37,6","3 542,4","2,8"
01.10.2010,Чукотский автономный округ,"206,2","205,9","0,8","205,1","4,2"
01.10.2010,Ярославская область,"4 155,6","4 155,2","64,5","4 090,7","3,2"
01.10.2011,Алтайский край,"6 983,4","6 981,5","68,6","6 912,8","2,9"
01.10.2011,Амурская область,"3 259,4","3 258,6","28,8","3 229,7","3,9"
01.10.2011,Архангельская область,"3 970,8","3 970,0","45,8","3 924,2","3,2"
01.10.2011,Астраханская область,"2 506,1","2 505,5","30,1","2 475,4","2,5"
01.10.2011,Белгородская область,"4 745,9","4 745,3",49,"4 696,3","3,1"
01.10.2011,Брянская область,"3 645,0","3 644,1","27,7","3 616,5","2,9"
01.10.2011,Владимирская область,"5 237,1","5 236,4","54,9","5 181,5","3,6"
01.10.2011,Волгоградская область,"7 518,7","7 517,1","79,9","7 437,2","2,9"
01.10.2011,Вологодская область,"3 585,3","3 584,7","58,2","3 526,5",3
01.10.2011,Воронежская область,"9 128,4","9 127,5","88,3","9 039,2","3,9"
01.10.2011,Еврейская автономная область,"390,6","390,5","3,6","386,8","2,2"
01.10.2011,Забайкальский край,"3 247,9","3 246,6","24,5","3 222,1","2,9"
01.10.2011,Ивановская область,"2 839,0","2 838,4","34,9","2 803,5","2,7"
01.10.2011,Иркутская область,"9 265,1","9 263,6","79,1","9 184,4","3,8"
01.10.2011,Кабардино-Балкарская Республика,"1 851,1","1 850,9","18,8","1 832,1","2,2"
