date,region,number_of_new_remote_accounts,"юридическим лицам, не являющимся кредитными организациями, всего","с доступом через сеть Интернет
",number_of_new_remote_accounts_individuals,number_of_new_remote_accounts_individuals_with_internet,number_of_new_remote_accounts_individuals_with_sms
01.04.2011,Красноярский край,"1172,1","26,6","21,1","1 145,5","73,1","99,7"
01.04.2011,Курганская область,"228,4","5,1","3,5","223,3","1,8","136,9"
01.04.2011,Курская область,"458,5",7,"3,6","451,5","4,1","143,7"
01.04.2011,Ленинградская область,"19,5",5,"2,3","14,6",3,0
01.04.2011,Липецкая область,"722,5","8,3","1,6","714,2","22,8","72,3"
01.04.2011,Магаданская область,"42,1","1,3","0,3","40,8","0,1","0,8"
01.04.2011,г. Москва и Московская область,"14148,2","515,8","411,4","13 632,4","3 745,3","1 035,8"
01.04.2011,Мурманская область,"29,9","7,8","5,9","22,2","8,4","0,9"
01.04.2011,Нижегородская область,"570,4","48,3","34,1","522,1","172,3","60,1"
01.04.2011,Новгородская область,27,"5,9",3,21,"1,5","0,1"
01.04.2011,Новосибирская область,"1205,5","70,8","44,4","1 134,7","194,5","87,3"
01.04.2011,Омская область,"440,7","20,3","14,6","420,4","27,2","296,2"
01.04.2011,Оренбургская область,"759,2","8,6","5,4","750,6","7,9","163,7"
01.04.2011,Орловская область,"129,4","4,3","3,3","125,1","1,5","1,2"
01.04.2011,Пензенская область,"148,9","7,8","4,1","141,1","1,7",0
01.04.2011,Пермский край,"1283,5","53,8","44,8","1 229,8","209,7","7,8"
01.04.2011,Приморский край,672,"22,5","17,9","649,4","12,9","49,9"
01.04.2011,Псковская область,"58,4","4,2","3,3","54,2","3,5",0
01.04.2011,Республика Адыгея (Адыгея),"54,6","1,1","0,6","53,5","0,3","13,7"
01.04.2011,Республика Алтай,"50,9","0,8","0,6","50,2","3,1","42,9"
01.04.2011,Республика Башкортостан,"467,3","36,4","28,1","430,9","189,2","100,4"
01.04.2011,Республика Бурятия,407,"6,3","5,3","400,7","118,9","180,8"
01.04.2011,Республика Дагестан,"133,1","0,5","0,4","132,5","7,6","6,4"
01.04.2011,Республика Ингушетия,"35,4","0,1","0,1","35,3","0,5","24,7"
01.04.2011,Республика Калмыкия,"50,3","0,5","0,3","49,8","12,7",17
01.04.2011,Республика Карелия,"61,6","8,1","4,5","53,5","8,1",0
01.04.2011,Республика Коми,"361,8","12,9","8,1","348,9","77,2","190,8"
01.04.2011,Республика Марий Эл,17,"3,8","2,8","13,2","0,5","0,4"
01.04.2011,Республика Мордовия,170,"3,4","0,7","166,6","0,4","47,3"
01.04.2011,Республика Саха (Якутия),"321,5",4,"1,7","317,5","14,3","23,7"
01.04.2011,Республика Северная Осетия-Алания,"14,9","1,1",1,"13,8","0,6","0,6"
01.04.2011,Республика Татарстан (Татарстан),"1436,5",41,"28,5","1 395,5","118,4",80
01.04.2011,Республика Тыва,"87,5","0,6","0,3","86,9","3,1","15,1"
01.04.2011,Республика Хакасия,"92,5","3,4","1,9","89,1","0,5","22,4"
01.04.2011,Ростовская область,"1060,3","43,3","21,8","1 017,0","76,2",367
01.04.2011,Рязанская область,"302,1",11,"5,4","291,1","4,5","40,5"
01.04.2011,Самарская область,"1624,7","40,3","24,1","1 584,3",407,"719,6"
01.04.2011,г. Санкт-Петербург,"3037,6","183,6","141,9","2 853,9","492,8","156,9"
01.04.2011,Саратовская область,"577,1","15,1","7,7","561,9","142,4","102,5"
01.04.2011,Сахалинская область,"151,8","5,9","4,8",146,"14,6","119,8"
01.04.2011,Свердловская область,"1297,5","114,5","96,3","1 183,0","267,4",84
01.04.2011,Смоленская область,"155,1","5,4","3,2","149,7","0,8","21,9"
01.04.2011,Ставропольский край,"725,8","16,3","8,2","709,5","24,5",44
01.04.2011,Тамбовская область,"233,7","3,5","1,8","230,2","38,1","193,1"
01.04.2011,Тверская область,"176,9","9,2","6,5","167,7","130,7",0
01.04.2011,Томская область,"376,9","14,3","7,7","362,6",95,"68,6"
01.04.2011,Тульская область,"258,1","9,4","6,1","248,8","3,8","40,6"
01.04.2011,Тюменская область,"1712,5",47,"28,9","1 665,5",132,"482,7"
01.04.2011,Удмуртская Республика,"502,5","23,2","16,3","479,4","118,1","338,1"
01.04.2011,Ульяновская область,"330,2","9,4","5,6","320,8",24,"120,8"
01.04.2011,Хабаровский край,"943,9","23,7","8,6","920,2","210,9","67,6"
01.04.2011,Челябинская область,"1128,8","48,4","21,6","1 080,5","204,3","751,1"
01.04.2011,Чеченская Республика,"55,6","0,4","0,2","55,2",0,"2,9"
01.04.2011,Чувашская Республика - Чувашия,"285,3","8,4","3,7",277,"29,2","172,4"
01.04.2011,Чукотский автономный округ,"6,6","0,1",0,"6,5",0,"5,4"
01.04.2011,Ярославская область,"129,7",16,"11,9","113,7","7,3","51,1"
01.01.2011,Алтайский край,"627,6","21,5","14,2","606,1","69,3","449,6"
01.01.2011,Амурская область,"306,6",5,"3,6","301,6","32,2","43,3"
01.01.2011,Архангельская область,"343,6","11,2","6,9","332,4","34,3","208,2"
01.01.2011,Астраханская область,"634,6","5,7","2,7","628,9","3,3","128,2"
01.01.2011,Белгородская область,"749,8","11,8","6,1","737,9","101,1",143
01.01.2011,Брянская область,279,"6,3","5,2","272,7","14,2","202,6"
01.01.2011,Владимирская область,328,"15,9","7,4","312,1","11,7","118,4"
01.01.2011,Волгоградская область,"593,5","18,8","11,6","574,7","36,3",113
01.01.2011,Вологодская область,"453,5","14,1","4,9","439,4","50,1","37,8"
01.01.2011,Воронежская область,"1066,6","25,9","17,1","1 040,7","23,8","95,7"
01.01.2011,Еврейская автономная область,32,"0,6","0,3","31,3","4,1","19,5"
01.01.2011,Забайкальский край,"332,3","3,8","2,3","328,5","19,1","145,8"
01.01.2011,Ивановская область,"208,9","9,5","5,7","199,4","22,3","129,7"
01.01.2011,Иркутская область,"890,5","19,9","11,5","870,6","347,5",34
01.01.2011,Кабардино-Балкарская Республика,"90,6",1,"0,6","89,6","3,3","0,1"
01.01.2011,Калининградская область,111,"20,3","15,4","90,6","3,5","0,3"
01.01.2011,Калужская область,"281,9","6,8","4,6","275,2","2,1","28,4"
01.01.2011,Камчатский край,95,"4,3","3,9","90,7","1,5","21,3"
01.01.2011,Карачаево-Черкесская Республика,"73,1","0,6","0,2","72,5","13,8","39,5"
01.01.2011,Кемеровская область,"674,7","25,2","14,5","649,5","185,9","154,3"
01.01.2011,Кировская область,"536,9","12,1","10,5","524,8","16,5","55,8"
01.01.2011,Костромская область,210,"7,2","3,4","202,9","0,3","35,1"
01.01.2011,Краснодарский край,"1856,1","77,2","23,2","1 778,9","265,3","88,3"
01.01.2011,Красноярский край,"1423,5","23,7","17,1","1 399,8","146,2","90,3"
01.01.2011,Курганская область,"256,2","4,9","3,3","251,3",1,"121,7"
01.01.2011,Курская область,"524,3",8,"4,2","516,3","4,1","139,7"
01.01.2011,Ленинградская область,"27,2","10,4","6,8","16,8","3,6",0
01.01.2011,Липецкая область,"753,9","8,8","1,6",745,"14,8","48,4"
01.01.2011,Магаданская область,"47,8","1,2","0,4","46,6","0,1","6,6"
01.01.2011,г. Москва и Московская область,"18264,1","548,4","430,1","17 715,7","5 697,9","1 061,4"
01.01.2011,Мурманская область,"94,3","8,2","6,2","86,1",69,"0,9"
01.01.2011,Нижегородская область,"612,6","55,5","37,5","557,1","149,6","57,8"
01.01.2011,Новгородская область,"93,4","6,8","3,8","86,6","2,1","0,1"
01.01.2011,Новосибирская область,"1409,3","76,8","47,4","1 332,4","207,6","85,3"
01.01.2011,Омская область,"485,8","17,9","13,3","467,8","25,9","320,5"
01.01.2011,Оренбургская область,"804,2","8,3","5,9","795,9","9,8","204,6"
01.01.2011,Орловская область,"124,4","4,3","3,3","120,1","1,5","1,3"
01.01.2011,Пензенская область,"158,4",8,"4,3","150,4","2,3",0
01.01.2011,Пермский край,"1363,8","45,1","35,2","1 318,7","140,4","8,5"
01.01.2011,Приморский край,"713,6","23,2","17,7","690,4","8,6","45,1"
01.01.2011,Псковская область,"66,7","4,4","3,4","62,3",4,0
01.01.2011,Республика Адыгея (Адыгея),"63,3",1,"0,5","62,3","0,1","2,4"
01.01.2011,Республика Алтай,45,"0,8","0,5","44,2","2,6","36,1"
01.01.2011,Республика Башкортостан,"604,6","39,8","30,5","564,8","292,5","84,1"
01.01.2011,Республика Бурятия,"346,2","6,1","5,2","340,1","31,5","164,2"
01.01.2011,Республика Дагестан,237,"0,8","0,6","236,2","17,5","81,6"
01.01.2011,Республика Ингушетия,34,"0,1",0,"33,9","0,5","22,4"
01.01.2011,Республика Калмыкия,"46,4","0,4","0,3",46,"3,3","25,2"
01.01.2011,Республика Карелия,"71,2","8,3","4,4","62,8","9,5",0
01.01.2011,Республика Коми,"384,5","10,9",6,"373,6","38,2","158,4"
01.01.2011,Республика Марий Эл,"19,6","4,1","2,8","15,5","0,5","0,4"
01.01.2011,Республика Мордовия,"203,6","3,2","0,8","200,4","0,4","42,8"
01.01.2011,Республика Саха (Якутия),"392,5","3,1","1,5","389,5","2,3","23,9"
01.01.2011,Республика Северная Осетия-Алания,"20,4","1,1","0,9","19,3","0,6","0,6"
01.01.2011,Республика Татарстан (Татарстан),"1525,2","42,7","26,8","1 482,5","29,1","17,7"
01.01.2011,Республика Тыва,"98,1","0,6","0,3","97,5","2,7","17,7"
01.01.2011,Республика Хакасия,"117,5","3,4","1,6","114,1","0,8","19,2"
01.01.2011,Ростовская область,1496,"43,4","22,5","1 452,6","100,8","105,3"
01.01.2011,Рязанская область,"409,7","11,9","5,8","397,8","4,2","34,6"
01.01.2011,Самарская область,1315,"41,2","22,7","1 273,8","401,3","251,7"
01.01.2011,г. Санкт-Петербург,"3621,9",204,"166,8","3 417,9","556,2",134
01.01.2011,Саратовская область,"566,5","15,8","6,6","550,6","97,4","30,4"
01.01.2011,Сахалинская область,"169,6","4,8","3,7","164,7","11,6",107
01.01.2011,Свердловская область,"1874,5","131,5","107,8","1 743,0","268,9","96,6"
01.01.2011,Смоленская область,"163,1","5,3","3,1","157,8","1,2","19,9"
01.01.2011,Ставропольский край,"766,9","16,1","7,4","750,8","23,1","37,1"
01.01.2011,Тамбовская область,"206,3","3,6","1,7","202,7","34,3","165,2"
01.01.2011,Тверская область,"172,1","9,5","6,4","162,6","107,7",0
01.01.2011,Томская область,"334,7","16,2","7,2","318,5","80,4",67
01.01.2011,Тульская область,"502,6","10,3","6,4","492,3","2,1","35,1"
01.01.2011,Тюменская область,"1889,5","45,4","27,1","1 844,1","42,6","473,7"
01.01.2011,Удмуртская Республика,"454,4","21,2","14,2","433,3","103,7","299,2"
01.01.2011,Ульяновская область,389,"9,1","5,4","379,9","27,9","116,9"
01.01.2011,Хабаровский край,"821,1","23,9","8,3","797,2","150,6","76,7"
01.01.2011,Челябинская область,"1021,4","53,8","22,7","967,6","147,2","690,1"
01.01.2011,Чеченская Республика,"70,3","0,4","0,1","69,9",0,1
01.01.2011,Чувашская Республика - Чувашия,"372,5","7,8","4,1","364,7","5,9",43
01.01.2011,Чукотский автономный округ,"8,4","0,2",0,"8,3","2,2","5,1"
01.01.2011,Ярославская область,"209,1","16,2","11,6","192,9",9,"112,2"
01.10.2012,Алтайский край,"882,2","21,3","16,4","860,9",199,"256,7"
01.10.2012,Амурская область,393,"8,8",6,"384,2","154,3","128,6"
01.10.2012,Архангельская область,829,"15,2","13,4","813,9","121,8","220,6"
01.10.2012,Астраханская область,"701,6","8,9","5,7","692,6","18,4",139
01.10.2012,Белгородская область,"691,9","17,3",13,"674,6","459,3","216,5"
01.10.2012,Брянская область,"691,6","6,4","5,6","685,2","39,9","370,4"
01.10.2012,Владимирская область,416,17,"13,6",399,"83,2","175,7"
01.10.2012,Волгоградская область,"997,8","29,6","26,3","968,2","185,3","575,5"
01.10.2012,Вологодская область,"655,4","19,6","16,4","635,8","108,9","373,6"
01.10.2012,Воронежская область,"1482,3","37,6","28,3","1444,7","721,7","189,7"
01.10.2012,Еврейская автономная область,"53,9","1,1","1,1","52,8","15,9","33,9"
01.10.2012,Забайкальский край,"379,3","7,9","7,5","371,4","324,3","273,3"
01.10.2012,Ивановская область,"114,3","9,3",7,105,"9,8","21,9"
01.10.2012,Иркутская область,"1124,7","28,8","26,9",1096,"685,5",55
01.10.2012,Кабардино-Балкарская Республика,221,"3,8","3,2","217,2","15,9","60,4"
01.10.2012,Калининградская область,"115,1","22,4","18,7","92,7",14,0
01.10.2012,Калужская область,"461,2","6,4",5,"454,8","7,6",36
01.10.2012,Камчатский край,"92,4","4,9","4,8","87,5","0,8","18,8"
01.10.2012,Карачаево-Черкесская Республика,"134,8","1,8","1,5",133,"5,3","24,8"
01.10.2012,Кемеровская область,1948,"30,5","26,3","1917,5","770,8","228,1"
01.10.2012,Кировская область,"299,2","17,1","15,6","282,1","77,6","43,8"
01.10.2012,Костромская область,"95,2","9,2","7,5","85,9","1,1","55,9"
01.10.2012,Краснодарский край,"2284,2","85,5",68,"2198,7","166,9","615,1"
01.10.2012,Красноярский край,"2366,9","36,3",28,"2330,6","768,2",666
01.10.2012,Курганская область,"374,9",7,"5,5","367,9","7,5","243,6"
01.10.2012,Курская область,"494,9","8,9","6,2","485,9","233,6","185,2"
01.10.2012,Ленинградская область,"28,9","8,9","6,9",20,"18,2",0
01.10.2012,Липецкая область,"566,6","12,2","8,6","554,3","316,9","63,6"
01.10.2012,Магаданская область,"91,3","2,2","0,7","89,2",0,10
01.10.2012,г. Москва и Московская область,"26411,9","732,5","627,7","25679,4","8670,4","3260,5"
01.10.2012,Мурманская область,"30,6","7,7",6,"22,9","9,4",1
01.10.2012,Нижегородская область,"1140,7","68,7","52,9",1072,"481,8","148,9"
01.10.2012,Новгородская область,"46,4","6,9","4,8","39,5","16,6","0,1"
01.10.2012,Новосибирская область,"2325,9","103,3","87,8","2222,6","492,2","235,2"
01.10.2012,Омская область,"517,7","22,3","18,7","495,4","82,9","346,5"
01.10.2012,Оренбургская область,853,"16,8","13,5","836,2","338,4","262,2"
01.10.2012,Орловская область,"294,8","6,8","5,6","288,1",228,"51,5"
01.10.2012,Пензенская область,"389,2","8,5","5,2","380,7","93,8","95,8"
01.10.2012,Пермский край,"1756,5","62,4","56,2","1694,1","377,6","1082,9"
01.10.2012,Приморский край,"1264,6","35,9","33,1","1228,7","153,5","167,9"
01.10.2012,Псковская область,"61,5","4,4","2,7","57,1","3,8",0
01.10.2012,Республика Адыгея (Адыгея),"109,3","1,5","1,1","107,8","3,7","30,5"
01.10.2012,Республика Алтай,"85,9","1,3","1,2","84,6",0,"0,3"
01.10.2012,Республика Башкортостан,"1672,9","57,2","54,9","1615,7","292,9","1036,5"
01.10.2012,Республика Бурятия,"468,8","10,2","9,1","458,6","187,3","237,9"
01.10.2012,Республика Дагестан,459,"4,1","3,5","454,8","56,4","39,3"
01.10.2012,Республика Ингушетия,"69,1","0,4","0,3","68,7","0,6",3
01.10.2012,Республика Калмыкия,"125,8","1,9","1,5","123,9","20,1","15,8"
01.10.2012,Республика Карелия,"80,5","9,4","5,3","71,1","22,1",0
01.10.2012,Республика Коми,"675,8","15,6","13,2","660,2","124,4","455,2"
01.10.2012,Республика Марий Эл,"71,1","5,2","3,7","65,8","30,9","8,2"
01.10.2012,Республика Мордовия,"295,7","3,7","1,1",292,"12,2","18,9"
01.10.2012,Республика Саха (Якутия),418,6,3,412,"12,6","47,2"
01.10.2012,Республика Северная Осетия-Алания,178,"2,6","2,4","175,4","9,3","30,5"
01.10.2012,Республика Татарстан (Татарстан),"1550,7","52,4","46,8","1498,4",282,"156,3"
01.10.2012,Республика Тыва,"158,4","1,2","0,9","157,3","8,6","51,6"
01.10.2012,Республика Хакасия,"157,8","4,3","2,3","153,5","0,6","47,2"
01.10.2012,Ростовская область,2092,"67,7",52,"2024,3","315,7","615,7"
01.10.2012,Рязанская область,"513,2","10,9","9,8","502,3","12,5","80,7"
01.10.2012,Самарская область,"2410,1","59,3","46,1","2350,8","223,7","771,4"
01.10.2012,г. Санкт-Петербург,"5235,5","245,6","195,8","4989,8","1377,1","283,3"
01.10.2012,Саратовская область,"1189,7","27,7","23,6","1161,9","380,4","480,1"
01.10.2012,Сахалинская область,"210,2","9,7","9,6","200,5","26,2","168,9"
01.10.2012,Свердловская область,"3785,4","178,8","167,5","3606,6","842,2","1622,7"
01.10.2012,Смоленская область,"387,1","6,1","3,5",381,"1,6","36,3"
01.10.2012,Ставропольский край,"1254,3","33,2","20,5",1221,"150,2","299,3"
01.10.2012,Тамбовская область,"331,5","6,3","4,4","325,2","196,5","279,6"
01.10.2012,Тверская область,"219,4","12,4","8,6",207,"167,6","0,1"
01.10.2012,Томская область,"444,1","13,9","12,3","430,2","142,5","72,3"
01.10.2012,Тульская область,"738,8","9,2","6,9","729,7","14,1","75,9"
01.10.2012,Тюменская область,"2870,8","66,3","54,4","2804,6","367,5","1769,3"
01.10.2012,Удмуртская Республика,1048,"27,2","22,6","1020,8","319,6","614,1"
01.10.2012,Ульяновская область,"412,5","15,1","12,7","397,4","40,3","44,9"
01.10.2012,Хабаровский край,"1464,5","34,3","15,1","1430,2","659,9","82,4"
01.10.2012,Челябинская область,"1681,8","58,1","34,2","1623,7","1262,5","1188,8"
01.10.2012,Чеченская Республика,"120,6","0,6","0,6",120,"0,3","0,2"
01.10.2012,Чувашская Республика - Чувашия,572,"10,5","9,7","561,6","98,8","419,8"
01.10.2012,Чукотский автономный округ,"33,1","0,4","0,4","32,7","5,6","13,2"
01.10.2012,Ярославская область,"320,5","25,6","22,2","294,9","87,1",156
01.07.2012,Алтайский край,"914,7",25,"19,2","889,7","215,5","797,2"
01.07.2012,Амурская область,"368,3","9,3","6,1",359,"148,2","83,7"
01.07.2012,Архангельская область,"786,5","14,3","12,5","772,2","100,8","191,1"
01.07.2012,Астраханская область,"697,7",9,"6,7","688,6","16,2","138,8"
01.07.2012,Белгородская область,"698,7","17,1","12,3","681,5","332,8","215,5"
01.07.2012,Брянская область,"857,5","6,7","5,8","850,7","30,6","348,2"
01.07.2012,Владимирская область,"393,3","16,2","12,7","377,2",79,173
01.07.2012,Волгоградская область,"937,7",28,"24,6","909,6","121,7","527,3"
01.07.2012,Вологодская область,549,"18,6",15,"530,5","94,8","292,4"
01.07.2012,Воронежская область,"1378,9",36,"23,9","1342,9","662,7",187
01.07.2012,Еврейская автономная область,"48,4","1,1",1,"47,4","15,7","29,2"
01.07.2012,Забайкальский край,"379,2","6,6","6,1","372,6","310,6","270,7"
01.07.2012,Ивановская область,"106,2","9,6","6,6","96,6","10,9","22,7"
01.07.2012,Иркутская область,"1058,8","23,4","21,5","1035,4","637,4","54,1"
01.07.2012,Кабардино-Балкарская Республика,"213,9","3,4","2,8","210,5","12,3","53,8"
01.07.2012,Калининградская область,"105,4","21,1","17,3","84,4","11,6",0
01.07.2012,Калужская область,"422,1","7,9","5,4","414,2","6,3","35,4"
01.07.2012,Камчатский край,"110,3","4,9","4,5","105,4","10,5",26
01.07.2012,Карачаево-Черкесская Республика,"120,2","1,7","1,2","118,5","4,2","21,3"
01.07.2012,Кемеровская область,"1444,8","28,1","22,9","1416,7","759,3","74,1"
01.07.2012,Кировская область,271,"16,3","15,3","254,7","66,5","42,9"
01.07.2012,Костромская область,"86,8","8,6","6,8","78,3",1,"48,6"
01.07.2012,Краснодарский край,"1882,5","82,2","59,6","1800,3","135,7","598,3"
01.07.2012,Красноярский край,"2089,5","30,4","23,2",2059,"686,8","613,4"
01.07.2012,Курганская область,"336,4","6,2","5,2","330,2","6,7","224,3"
01.07.2012,Курская область,"492,7","8,5","5,1","484,3","160,6",183
01.07.2012,Ленинградская область,"32,1","9,2","6,9","22,9","15,7",0
01.07.2012,Липецкая область,"569,5","11,3","7,2","558,2","242,7","62,7"
01.07.2012,Магаданская область,"84,4","1,8","0,4","82,6",0,10
01.07.2012,г. Москва и Московская область,"23129,8","683,3","589,4","22446,5","7961,5","3409,7"
01.07.2012,Мурманская область,"28,5","8,1","6,1","20,5","8,6","1,1"
01.07.2012,Нижегородская область,993,"64,7","48,8","928,3","392,7","137,7"
01.07.2012,Новгородская область,"44,8","6,9","4,8","37,9","15,7","0,1"
01.07.2012,Новосибирская область,"1991,4","96,5","79,3","1894,9","416,1","200,4"
01.07.2012,Омская область,"474,5","22,5","18,5",452,"72,9","307,9"
01.07.2012,Оренбургская область,"974,8","15,8","12,6",959,"313,6","237,4"
01.07.2012,Орловская область,"280,3","6,9","5,9","273,4","214,6",51
01.07.2012,Пензенская область,"353,3","8,3","4,8","344,9","78,5","96,2"
01.07.2012,Пермский край,"1628,2","46,3","39,7","1581,9",351,"1016,3"
01.07.2012,Приморский край,935,"32,4","29,2","902,6","72,3","83,3"
01.07.2012,Псковская область,"60,9","4,5","2,7","56,4","3,7",0
01.07.2012,Республика Адыгея (Адыгея),"84,3","1,4","1,2","82,9","1,2","28,3"
01.07.2012,Республика Алтай,73,"1,2","1,1","71,9",0,"0,3"
01.07.2012,Республика Башкортостан,"1542,8","52,5","49,9","1490,4",269,"951,1"
01.07.2012,Республика Бурятия,"426,8","8,7","7,9",418,"172,5","226,8"
01.07.2012,Республика Дагестан,"405,4","1,9","1,5","403,6","42,2","34,6"
01.07.2012,Республика Ингушетия,"60,3","0,3","0,3",60,"0,3","2,6"
01.07.2012,Республика Калмыкия,"112,9","1,7","1,3","111,2",14,"12,7"
01.07.2012,Республика Карелия,"77,9","9,3","5,3","68,6","20,2",0
01.07.2012,Республика Коми,"267,1","12,9","10,4","254,2","50,5","127,7"
01.07.2012,Республика Марий Эл,"63,8","5,4","3,9","58,4","27,9","7,7"
01.07.2012,Республика Мордовия,"273,9","3,7",1,"270,2","11,4",18
01.07.2012,Республика Саха (Якутия),"284,7","5,3","2,5","279,3","11,6","44,6"
01.07.2012,Республика Северная Осетия-Алания,"156,5","2,3","2,1","154,2","7,9",27
01.07.2012,Республика Татарстан (Татарстан),"2082,9","51,2","44,8","2031,7","872,7","156,6"
01.07.2012,Республика Тыва,"137,7","0,9","0,5","136,7","8,1","46,2"
01.07.2012,Республика Хакасия,"140,6","3,8","1,9","136,7","0,4","43,4"
01.07.2012,Ростовская область,"1534,6","60,3","40,6","1474,3","237,8","592,7"
01.07.2012,Рязанская область,"475,1","11,4","10,2","463,7","11,1","73,4"
01.07.2012,Самарская область,"2166,9","54,1","41,2","2112,8","193,5",793
01.07.2012,г. Санкт-Петербург,"4623,3","235,7","187,1","4387,6","1187,6","275,8"
01.07.2012,Саратовская область,"1057,8","25,6","20,4","1032,2","367,5","332,7"
01.07.2012,Сахалинская область,"207,1","9,2","9,1",198,"21,6","168,2"
01.07.2012,Свердловская область,"3268,5","163,7","152,5","3104,7","663,1","1451,6"
01.07.2012,Смоленская область,"367,9","6,4","3,8","361,5",4,"36,6"
01.07.2012,Ставропольский край,"1148,2","30,7","18,6","1117,5","128,2","245,7"
01.07.2012,Тамбовская область,"321,5",6,"3,6","315,5","139,6","275,2"
01.07.2012,Тверская область,"216,9",12,"6,7",205,"163,4","0,1"
01.07.2012,Томская область,"480,7","16,3","13,3","464,4","163,6","92,8"
01.07.2012,Тульская область,"675,6","8,4","6,4","667,3","14,5",74
01.07.2012,Тюменская область,"2768,9","61,2","49,6","2707,7","264,4","1695,8"
01.07.2012,Удмуртская Республика,1130,"23,6","18,5","1106,4",455,"577,4"
01.07.2012,Ульяновская область,"365,3",14,"11,6","351,3","31,5","44,7"
01.07.2012,Хабаровский край,"1443,1","31,6","14,4","1411,5","590,9","105,4"
01.07.2012,Челябинская область,"1593,3","54,4","31,1","1538,9","1114,8","1123,2"
01.07.2012,Чеченская Республика,"98,8","0,6","0,5","98,2","0,2","0,2"
01.07.2012,Чувашская Республика - Чувашия,"569,9","11,3","9,8","558,6","85,5","422,8"
01.07.2012,Чукотский автономный округ,"14,2","0,2","0,2",14,"0,2",0
01.07.2012,Ярославская область,"176,7","25,3","21,3","151,4","45,7","61,5"
01.04.2012,Алтайский край,"836,2","21,4","16,8","814,8","192,8","734,7"
01.04.2012,Амурская область,"386,2","7,7","4,6","378,4","161,5","73,9"
01.04.2012,Архангельская область,"399,1","13,3","11,5","385,9","52,6","259,3"
01.04.2012,Астраханская область,"677,6","8,7","6,4","668,9",13,"136,2"
01.04.2012,Белгородская область,"664,3","16,1","10,9","648,2","297,3","209,8"
01.04.2012,Брянская область,"818,6","7,4","5,9","811,2","26,8","330,3"
01.04.2012,Владимирская область,"345,8","16,3","12,3","329,5","84,1",166
01.04.2012,Волгоградская область,"730,2","24,7","21,4","705,4","94,3","217,3"
01.04.2012,Вологодская область,"366,9","17,3","11,4","349,6","77,1",140
01.04.2012,Воронежская область,1271,"33,2","21,7","1237,8","402,2",181
01.04.2012,Еврейская автономная область,"42,1",1,"0,9","41,1","12,8","23,7"
01.04.2012,Забайкальский край,"349,1","5,8","5,3","343,3","294,2","261,4"
01.04.2012,Ивановская область,"101,5","9,1","6,3","92,4",10,"25,7"
01.04.2012,Иркутская область,"993,4","21,4",19,972,"596,6","52,5"
01.04.2012,Кабардино-Балкарская Республика,190,"3,1","2,5","186,9","11,5","50,8"
01.04.2012,Калининградская область,"91,8","19,3","15,7","72,4","7,6",0
01.04.2012,Калужская область,372,"6,5","5,2","365,4","5,2","33,9"
01.04.2012,Камчатский край,"103,5","4,3","4,1","99,2","9,7","24,6"
01.04.2012,Карачаево-Черкесская Республика,102,"1,5","1,1","100,5","4,1","18,1"
01.04.2012,Кемеровская область,"815,3","26,6","20,9","788,7",309,"211,9"
01.04.2012,Кировская область,"557,3","15,5","14,5","541,8","59,3","329,5"
01.04.2012,Костромская область,"57,3","8,2",6,"49,1","0,9","24,4"
01.04.2012,Краснодарский край,"1471,4",74,"51,3","1397,4","111,5","555,7"
01.04.2012,Красноярский край,"1928,2",32,"25,4","1896,3","582,9",601
01.04.2012,Курганская область,"309,6",6,"4,7","303,6","5,8","209,1"
01.04.2012,Курская область,"453,2","8,2","4,6","444,9","6,7","162,4"
01.04.2012,Ленинградская область,"29,2","8,8","6,6","20,3","3,1",0
01.04.2012,Липецкая область,"537,7","11,1","6,9","526,6","187,3","60,8"
01.04.2012,Магаданская область,"64,9","1,6","0,3","63,3","0,1","9,9"
01.04.2012,г. Москва и Московская область,"19099,4","625,4","537,4",18474,"6519,5","2915,6"
01.04.2012,Мурманская область,"24,4","7,5","5,9","16,9","7,3","0,1"
01.04.2012,Нижегородская область,"683,4","58,5","41,8","624,9","246,2","108,4"
01.04.2012,Новгородская область,"44,6","6,6","4,7",38,"16,6","0,1"
01.04.2012,Новосибирская область,"1815,5","86,2","65,9","1729,3",360,"210,9"
01.04.2012,Омская область,"402,4","20,8","16,9","381,5","49,7","259,6"
01.04.2012,Оренбургская область,"937,6","14,2","11,3","923,4","155,6","213,2"
01.04.2012,Орловская область,"196,8","6,8","5,9",190,"3,8","42,2"
01.04.2012,Пензенская область,"300,3","8,4","4,6",292,"49,2","93,6"
01.04.2012,Пермский край,"1508,3","48,6","41,3","1459,7","327,4","922,8"
01.04.2012,Приморский край,"816,9","27,9",24,789,58,"79,7"
01.04.2012,Псковская область,"59,7","4,4","2,7","55,2","3,5",0
01.04.2012,Республика Адыгея (Адыгея),"68,1","1,3",1,"66,8","1,2","25,4"
01.04.2012,Республика Алтай,"67,2",1,"0,9","66,3",0,"0,3"
01.04.2012,Республика Башкортостан,"1339,4","49,4","45,6",1290,"220,3","839,6"
01.04.2012,Республика Бурятия,"381,9","7,6","7,1","374,3","146,7","200,1"
01.04.2012,Республика Дагестан,"307,4","1,7","1,4","305,8","10,3","31,5"
01.04.2012,Республика Ингушетия,"50,7","0,3","0,2","50,4","0,2","2,5"
01.04.2012,Республика Калмыкия,"99,4","1,6","1,1","97,8","12,3",12
01.04.2012,Республика Карелия,"71,4",9,"5,2","62,3","16,4",0
