date,region,number_of_new_remote_accounts,"юридическим лицам, не являющимся кредитными организациями, всего","с доступом через сеть Интернет
",number_of_new_remote_accounts_individuals,number_of_new_remote_accounts_individuals_with_internet,number_of_new_remote_accounts_individuals_with_sms
01.10.2010,Ставропольский край,728,"16,3","7,3","711,7","7,3","25,3"
01.10.2010,Тамбовская область,174,"3,5","1,4","170,5","20,5","144,7"
01.10.2010,Тверская область,"136,7","9,4","6,3","127,4","71,8",0
01.10.2010,Томская область,"336,3","16,2","7,3","320,2","58,7","57,2"
01.10.2010,Тульская область,"412,7","10,3","6,5","402,4","1,6",28
01.10.2010,Тюменская область,"1752,5","40,8","22,3","1 711,8","43,6",377
01.10.2010,Удмуртская Республика,"406,6","19,9",13,"386,7","103,2","256,5"
01.10.2010,Ульяновская область,"306,7","7,9","4,2","298,8",19,"73,4"
01.10.2010,Хабаровский край,"839,9","22,8","7,8",817,"16,9","65,4"
01.10.2010,Челябинская область,"959,3","52,7","20,3","906,6","121,1","639,4"
01.10.2010,Чеченская Республика,"47,7","0,4","0,1","47,3",0,"0,4"
01.10.2010,Чувашская Республика - Чувашия,"325,8","7,9","3,8",318,"1,5","32,2"
01.10.2010,Чукотский автономный округ,"4,9","0,1",0,"4,9",0,"4,3"
01.10.2010,Ярославская область,"291,6","15,6","10,9",276,"15,3","104,5"
01.07.2010,Алтайский край,"562,1","19,5","12,1","542,6","10,2","279,3"
01.07.2010,Амурская область,"261,4","4,3","3,2","257,1","4,6","32,6"
01.07.2010,Архангельская область,"257,9","10,2","5,8","247,7","16,5","142,2"
01.07.2010,Астраханская область,578,"4,8","1,9","573,2","2,4","125,6"
01.07.2010,Белгородская область,"706,1","11,2","5,4","694,9","35,2","117,7"
01.07.2010,Брянская область,217,"7,5","4,7","209,4","13,1",156
01.07.2010,Владимирская область,"219,8","13,3","5,7","206,5","7,2","60,5"
01.07.2010,Волгоградская область,"491,7","16,6",9,"475,1","22,4","73,7"
01.07.2010,Вологодская область,"369,7","14,4","4,3","355,4",10,"19,7"
01.07.2010,Воронежская область,"866,6","23,3","13,9","843,3","12,7","74,8"
01.07.2010,Еврейская автономная область,"35,7","0,6","0,3","35,1","10,8","13,1"
01.07.2010,Забайкальский край,"249,9","3,4","2,1","246,5",10,"128,3"
01.07.2010,Ивановская область,"206,4",9,"5,9","197,4","15,2","124,8"
01.07.2010,Иркутская область,"670,7",18,10,"652,7","241,1","22,2"
01.07.2010,Кабардино-Балкарская Республика,"132,2",1,"0,5","131,2","72,7","0,1"
01.07.2010,Калининградская область,"87,8","17,7","13,3",70,"2,4","0,1"
01.07.2010,Калужская область,"45,6","5,8","3,6","39,9","1,5","12,5"
01.07.2010,Камчатский край,"68,8",3,"2,7","65,8","0,7","16,8"
01.07.2010,Карачаево-Черкесская Республика,"50,1","0,5","0,2","49,6","0,9","27,4"
