year,region,men,women
2014,Ростовская область,16.01,25.04
2014,Волгоградская область,16.1,25.72
2014,Астраханская область,15.78,24.85
2014,Краснодарский край,16.66,25.58
2014,Республика Калмыкия,15.7,25.43
2014,Республика Адыгея,15.92,25.34
2014,г.Санкт-Петербург,17.94,26.85
2014,Псковская область,13.88,23.97
2014,Новгородская область,14.11,24.58
2014,Мурманская область,14.35,24.43
2014,Ленинградская область,15.79,25.29
2014,Калининградская область,15.46,25.04
2014,Вологодская область,14.36,25.07
2014,   Архангельская область без авт. округа,15.04,25.32
2014,Пензенская область,15.22,25.73
2014,Оренбургская область,14.93,24.77
2014,Нижегородская область,14.57,25.04
2014,Кировская область,14.77,25.37
2014,Воронежская область,15.69,25.63
2014,Брянская область,14.83,25.27
2014,Белгородская область,16,25.59
2014,   Ненецкий автономный округ,15.01,24.65
2014,Архангельская область,15.05,25.31
2014,Ивановская область,14.21,24.79
2014,Республика Коми,14.08,24.41
2014,Калужская область,15.26,25.71
2014,Владимирская область,14.51,24.94
2015,Республика Алтай,14.49,24.37
2015,Челябинская область,15.43,25.35
2015,   Тюменская область без авт. округов,15.57,25.65
2015,   Ямало-Ненецкий автономный округ,15.66,24.39
2015,   Ханты-Мансийский автономный округ – Югра,15.92,25.56
2015,Тюменская область,15.75,25.61
2015,Чукотский автономный округ,13.92,21.09
2015,Еврейская автономная область,13.14,23.08
2015,Сахалинская область,14.47,23.73
2015,Магаданская область,13.89,22.37
2015,Чувашская Республика,15.78,25.9
2015,Удмуртская Республика,14.95,25.23
2015,Республика Татарстан,16.3,26.49
2015,Республика Мордовия,15.29,25.82
2015,Республика Марий Эл,14.87,25.4
2015,Республика Башкортостан,15.61,25.57
2015,Республика Бурятия,14.94,24.73
2015,Томская область,16.12,25.43
2015,Oмская область,15.21,25.18
2015,Новосибирская область,15.71,25.73
2015,Кемеровская область – Кузбасс,14.87,24.73
2015,Иркутская область,14.75,24.5
2015,Красноярский край,15.14,24.8
2015,Алтайский край,15.24,24.9
2015,Республика Хакасия,14.81,24.07
2015,Республика Тыва,13.15,21.07
2015,Краснодарский край,16.62,25.63
2015,Республика Калмыкия,16.34,25.82
2015,Республика Адыгея,16.37,25.62
2015,г.Санкт-Петербург,17.9,26.76
2015,Псковская область,13.93,24.13
2015,Новгородская область,14.42,24.59
2015,Свердловская область,15.16,25.21
2015,Курганская область,14.78,24.97
2015,Ульяновская область,15.29,25.47
2015,Саратовская область,15.94,25.45
2015,Самарская область,15.76,25.51
2015,Пензенская область,15.32,25.56
2015,Оренбургская область,15.11,24.99
2015,Нижегородская область,14.85,25.2
2015,Кировская область,14.79,25.4
2015,Пермский край,14.4,24.79
2015,Ярославская область,15.02,25.29
2015,Тульская область,15.03,25.25
2015,Тверская область,14.47,24.68
2015,Тамбовская область,15.19,25.64
2015,Смоленская область,14.39,24.86
2015,Рязанская область,15.41,25.71
2015,Ставропольский край,16.85,25.75
2015,Чеченская Республика,16.45,23.99
2015,Республика Северная Осетия – Алания,17.42,26.8
2015,Карачаево-Черкесская Республика,17.96,26.04
2015,Кабардино-Балкарская Республика,17.56,26.37
2015,Республика Ингушетия,20.66,28.66
2015,Республика Дагестан,19.57,27.08
2015,Ростовская область,16.17,25.22
2015,Волгоградская область,16.17,25.69
2015,Астраханская область,16.01,25.19
