year,region,men,women
2021,Челябинская область,13.93,22.83
2021,Республика Калмыкия,14.62,23.13
2021,   Тюменская область без авт. округов,14.89,24.32
2021,   Ямало-Ненецкий автономный округ,15.91,23.83
2021,   Ханты-Мансийский автономный округ – Югра,15.35,23.73
2021,Тюменская область,15.19,24.13
2021,Свердловская область,13.79,22.94
2021,Курганская область,13.35,22.63
2021,Ульяновская область,13.83,22.95
2021,Саратовская область,14.28,21.99
2021,Самарская область,14.26,22.95
2021,Пензенская область,13.99,22.87
2021,Краснодарский край,14.97,23.31
2021,Республика Дагестан,19.02,25.56
2021,Республика Ингушетия,18.2,24.59
2021,Волгоградская область,14.57,22.49
2021,Астраханская область,13.66,21.39
2021,Тульская область,14.34,23.1
2021,Ярославская область,13.21,22.87
2021,Республика Карелия,12.38,21.67
2021,г.Москва,18.54,25.87
2021,Архангельская область,13.22,22.99
2021,   Ненецкий автономный округ,13.47,22.88
2021,Кабардино-Балкарская Республика,16.48,24.34
2021,Ростовская область,14.36,22.22
2021,Республика Северная Осетия – Алания,15.71,23.8
2021,Чеченская Республика,15.17,22.07
2021,Ставропольский край,15.63,23.54
2021,Республика Башкортостан,14.58,23.16
2021,Республика Марий Эл,14.11,23.64
2021,Республика Мордовия,14.4,23.19
2021,Республика Татарстан,15.02,24.01
2021,Карачаево-Черкесская Республика,16.27,24.03
2021,Республика Адыгея,15.15,23.68
2021,г.Санкт-Петербург,16.16,24.78
2021,Псковская область,12.65,22.3
2021,Новгородская область,12.32,21.98
2021,Ленинградская область,15.29,23.84
2021,Мурманская область,12.44,21.61
2021,Калининградская область,15.12,23.29
2021,Вологодская область,13.21,23.21
2021,Республика Коми,12.97,22.15
2021,   Архангельская область без авт. округа,13.22,23
2022,Ульяновская область,16.05,26.07
2022,Саратовская область,16.82,25.89
2022,Самарская область,16.36,25.94
2022,Пензенская область,15.86,25.97
2022,Оренбургская область,16.09,25.84
2022,Нижегородская область,15.34,25.65
2022,Кировская область,15.21,25.76
2022,Пермский край,15.33,25.81
2022,Чувашская Республика,16.05,26.9
2022,Удмуртская Республика,15.61,26.82
2022,Республика Татарстан,17.5,27.5
2022,Республика Мордовия,16.06,26.64
2022,Республика Марий Эл,16.29,26.57
2022,Республика Башкортостан,17.03,26.8
2022,Ставропольский край,17.7,26.14
2022,Чеченская Республика,17.06,24.5
2022,Республика Северная Осетия – Алания,17.53,26.69
2022,Новосибирская область,15.78,25.84
2022,Кемеровская область – Кузбасс,15.26,25.07
2022,Иркутская область,14.55,24.79
2022,Красноярский край,15.5,24.95
2022,Алтайский край,14.64,24.89
2022,Республика Хакасия,15.19,24.75
2022,Республика Тыва,14.39,22.57
2022,Республика Алтай,14.88,23.95
2022,Челябинская область,16.14,26.35
2022,   Тюменская область без авт. округов,17.01,27.04
2022,   Ямало-Ненецкий автономный округ,18.96,26.95
2022,   Ханты-Мансийский автономный округ – Югра,17.81,27.15
2022,Тюменская область,17.48,27.16
2022,Свердловская область,15.82,25.83
2022,Курганская область,15.38,26.02
2022,Калининградская область,16.93,25.68
2022,Вологодская область,14.86,25.71
2022,   Архангельская область без авт. округа,15.23,25.09
2022,   Ненецкий автономный округ,15.91,25.06
2022,Архангельская область,15.24,25.1
2022,Республика Коми,14.67,24.87
2022,Республика Карелия,14.43,24.11
2022,г.Москва,21.66,29.24
2022,Ярославская область,15.17,25.41
2022,Тульская область,15.88,25.73
2022,Тверская область,14.83,24.73
2022,Тамбовская область,16.04,25.66
2022,Смоленская область,14.75,24.99
2022,Рязанская область,15.65,25.99
2022,Орловская область,14.88,24.94
2022,Московская область,17.94,25.85
2022,Липецкая область,15.82,25.67
2022,Карачаево-Черкесская Республика,18.65,26.82
2022,Кабардино-Балкарская Республика,18.17,26.42
2022,Республика Ингушетия,20.89,27.2
2022,Республика Дагестан,20.68,27.98
2022,Ростовская область,16.63,25.43
2022,Волгоградская область,17.06,26.22
2022,Астраханская область,15.77,24.79
2022,Краснодарский край,16.84,25.73
2022,Республика Калмыкия,16.58,26.3
2022,Республика Адыгея,16.91,25.68
2022,г.Санкт-Петербург,18.6,27.29
2022,Псковская область,14.43,24.52
2022,Новгородская область,14.3,24.92
2022,Мурманская область,14.48,24.6
2022,Ленинградская область,17.3,26.14
2022,Ивановская область,14.59,25.11
2022,Курская область,15.02,25.17
2022,Костромская область,14.92,25.09
2022,Калужская область,16.5,25.92
2022,Владимирская область,15.08,25.23
2022,Воронежская область,16.37,25.91
2022,Брянская область,15.32,25.59
2022,Белгородская область,16.34,26.03
2022,Магаданская область,14.86,23.67
2022,Сахалинская область,16.05,24.4
2022,Еврейская автономная область,14.16,23.61
2022,Чукотский автономный округ,15.84,25.91
2022,Камчатский край,14.6,23.76
2022,Приморский край,15.04,24.24
2022,Хабаровский край,15.18,24.69
2022,Oмская область,15.59,25.51
2022,Томская область,16.47,26.05
2022,Республика Бурятия,14.78,25.04
2022,Республика Саха (Якутия),16.68,25.97
2022,Забайкальский край,13.83,23.65
2022,Амурская область,13.96,23.42
2023,Рязанская область,16.54,26.93
2023,Костромская область,15.88,26.04
2023,Ивановская область,15.62,26.14
2023,Республика Ингушетия,22.49,27.75
2023,Кабардино-Балкарская Республика,19.72,28.04
2023,Карачаево-Черкесская Республика,20.04,28.37
2023,Республика Северная Осетия – Алания,19.56,28.6
2023,Чеченская Республика,18.54,25.64
2023,Ставропольский край,18.62,27.18
2023,Республика Башкортостан,17.46,27.37
2023,Краснодарский край,17.98,26.84
2023,Республика Марий Эл,17.28,27.07
2023,г.Санкт-Петербург,19.79,28.12
2023,Республика Калмыкия,17.94,27.54
2023,Республика Адыгея,18.19,27.49
2023,Астраханская область,16.75,25.75
2023,Волгоградская область,18.01,27.09
2023,Ростовская область,17.53,26.41
2023,Камчатский край,16.47,25.33
2023,Чукотский автономный округ,15.72,29.02
2023,Еврейская автономная область,15.2,24.59
2023,Сахалинская область,16.84,25.94
2023,Магаданская область,15.77,25.33
2023,Хабаровский край,16.17,25.69
2023,Амурская область,14.9,24.34
2023,Приморский край,15.94,25.33
2023,   Ямало-Ненецкий автономный округ,19.29,27.92
2023,   Тюменская область без авт. округов,18.06,28.21
2023,Челябинская область,16.87,26.95
2023,Республика Алтай,15.53,25.99
2023,Калужская область,17.36,26.78
2023,Липецкая область,16.39,26.47
2023,Московская область,18.94,26.68
2023,Орловская область,15.96,25.78
2023,Курская область,16.33,26.53
2023,Тульская область,17.05,26.64
2023,Смоленская область,15.86,26.44
2023,Тверская область,15.88,25.8
2023,Тамбовская область,16.73,26.71
2023,г.Москва,23.28,30.38
2023,Ярославская область,15.99,26.55
2023,Псковская область,15.14,25.38
2023,Республика Дагестан,22.74,29.3
2023,Республика Мордовия,17.19,27.89
2023,Забайкальский край,14.12,24.27
2023,Республика Саха (Якутия),17.52,27.32
2023,Республика Бурятия,15.65,25.98
2023,Томская область,17.5,26.99
2023,Oмская область,16.37,26.54
2023,Новосибирская область,16.75,26.73
2023,Кемеровская область – Кузбасс,16.37,26.05
2023,Иркутская область,15.45,25.86
2023,Красноярский край,16.44,26.21
2023,Алтайский край,15.48,25.98
2023,Республика Хакасия,16.23,25.51
2023,Республика Тыва,14.27,23.7
2023,Республика Татарстан,18.12,28.27
2023,Чувашская Республика,16.95,27.84
2023,Удмуртская Республика,16.2,27.11
2023,   Ханты-Мансийский автономный округ – Югра,19.27,28.31
2023,Тюменская область,18.64,28.33
2023,Свердловская область,16.51,26.43
2023,Курганская область,15.39,26.4
2023,Саратовская область,17.65,26.56
2023,Ульяновская область,16.8,27.1
2023,Самарская область,17.1,26.84
2023,Пензенская область,16.43,26.71
2023,Пермский край,16.06,26.48
2023,Оренбургская область,16.36,26.18
2023,Нижегородская область,16.11,26.42
2023,Кировская область,15.97,27.11
2023,Новгородская область,14.87,25.91
2023,Мурманская область,15.34,25.35
2023,Ленинградская область,18.85,27.52
2023,Калининградская область,18.02,26.39
2023,Вологодская область,15.55,26.47
2023,   Архангельская область без авт. округа,16.43,26.58
2023,   Ненецкий автономный округ,17.97,25.93
2023,Архангельская область,16.46,26.56
2023,Республика Коми,15.89,25.73
2023,Воронежская область,17.21,26.89
2023,Владимирская область,16.04,26.24
2023,Брянская область,16.09,26.89
2023,Белгородская область,17.15,26.98
2023,Республика Карелия,15.19,25.61
