date,region,"The number of accounts opened by institutions of the banking system, per 1 resident, units.",Total number of banking system institutions,institutions of the Bank of Russia,credit institutions,branches of credit organizations,Number of bank institutions per 1 million inhabitants,payments orders with internet,payment requirements with internet,collection orders,volume orders in electronic form with internet,volume payment requirements,volume collection orders,"The number of accounts opened by institutions of the banking system, per 1 resident, units._normalized",Total number of banking system institutions_normalized,institutions of the Bank of Russia_normalized,credit institutions_normalized,branches of credit organizations_normalized,Number of bank institutions per 1 million inhabitants_normalized,payments orders with internet_normalized,payment requirements with internet_normalized,collection orders_normalized,volume orders in electronic form with internet_normalized,volume payment requirements_normalized,volume collection orders_normalized,geometric_mean
2013-01-01,Krasnoyarsk region,4.6,969.0,16,5,46,341.0,1598.4,7.6,38.9,322.6,2.5,0.5,0.8364017907214405,0.854642610008151,0.959249862953749,0.4883245054243353,0.7830610913710275,0.8035469879236606,0.7482181087702341,0.49084394392534936,0.7266399857655068,0.7855191434435397,0.36394010882674416,0.0,0.6869425104587653
2013-01-01,Kurgan region,2.9,362.0,4,3,9,404.0,334.5,0.6,5.0,21.8,0.1,0.0,0.5835472550922828,0.6148289778896738,0.4796249314768745,0.33333333232195644,0.3151177162520141,0.8685963688089539,0.5283450339781779,0.0,0.31944380726140736,0.4071585461519571,0.0,0.0,0.4680915654593604
2013-01-01,Kursk region,3.7,352.0,3,2,11,314.0,463.1,2.2,13.5,69.8,0.1,0.6,0.7170717821543281,0.6080061373675988,0.3800937654009002,0.21030991721904468,0.3726765947799419,0.7718958680076105,0.5740742555367548,0.19081914790738433,0.5165860054712683,0.5705680100997033,0.0,0.0,0.44772897491003755
2013-01-01,Leningrad region,0.1,434.0,4,5,13,250.0,438.6,0.3,3.8,85.2,0.0,0.0,0.0,0.6590107459591457,0.4796249314768745,0.4883245054243353,0.42059313657781955,0.6844386040802826,0.5664333914529868,0.0,0.26497314382885867,0.5985630697327158,0.0,0.0,0.5013546051268718
2013-01-01,Lipetsk region,3.9,373.0,4,2,13,320.0,526.7,2.4,21.4,58.8,0.2,0.2,0.7459247889907248,0.6221197379642779,0.4796249314768745,0.21030991721904468,0.42059313657781955,0.7791585229309307,0.5921643147697867,0.2118772769198885,0.6080267226851873,0.5464871798212707,0.0,0.0,0.479275003472735
2013-01-01,Magadan Region,5.6,71.0,5,0,8,460.0,80.0,0.0,0.5,16.1,0.0,0.1,0.9442148786028831,0.21807927242924174,0.5568273017022904,0.0,0.2813337129306369,0.9184049300484322,0.32724002539831554,0.0,0.0,0.36459872375889274,0.0,0.0,0.4464402349585688
2013-01-01,Murmansk region,2.4,268.0,3,3,16,340.0,491.7,0.0,2.3,68.7,0.2,0.1,0.47982739428841514,0.5416010591307739,0.3800937654009002,0.33333333232195644,0.48015085599152063,0.8024201183534064,0.5824981926008368,0.0,0.1653171329428612,0.5683374740910837,0.0,0.0,0.4457169431389657
2013-01-01,Nizhny Novgorod Region,3.9,1189.0,12,11,97,361.0,4963.3,1.8,32.9,1095.3,2.4,0.2,0.7459247889907248,0.9044756795525399,0.8597186968777747,0.7275527773405558,0.9970580994824675,0.8254160863420239,0.9074967054342199,0.14225366669939746,0.6933900324706028,0.9571636973500087,0.34772608350550266,0.0,0.6599768622236515
2013-01-01,Novgorod region,2.0,204.0,3,2,10,324.0,402.9,0.0,0.7,44.7,0.3,0.0,0.3799004936620523,0.4751417178928394,0.3800937654009002,0.21030991721904468,0.3453385370271755,0.7839250291073983,0.5544988317557947,0.0,0.0,0.5079886164996983,0.0,0.0,0.42676590328225456
2013-01-01,Novosibirsk region,6.2,855.0,8,9,62,318.0,6438.7,11.0,154.2,1276.2,12.4,0.8,0.9999999945191944,0.8241579400610495,0.7194373972153117,0.6666666646439129,0.868678583402759,0.7767528798603754,0.9440816159322769,0.5803285703555783,0.999999998015184,0.9786280164949435,0.9999999960281154,0.0,0.8379423097033197
2013-01-01,Omsk region,3.0,661.0,6,6,30,335.0,965.9,15.6,8.7,159.9,7.4,0.1,0.6021280364598082,0.7614784854774389,0.6199062311393374,0.5436432495410011,0.6604562532791896,0.7967355875248809,0.6774118141668998,0.6648829997436722,0.42937980913356016,0.686963725439022,0.7949647680066972,0.0,0.648887849407256
2013-01-01,Orenburg region,3.4,833.0,12,8,19,412.0,697.2,0.0,9.3,192.7,0.9,0.1,0.6707275217208013,0.8178088737419722,0.8597186968777747,0.630929751657134,0.5294430959005632,0.8761201160031333,0.6315867413535009,0.0,0.44261681965553307,0.7131640185792008,0.0,0.0,0.6708396661203431
2013-01-01,Oryol Region,3.4,234.0,4,1,15,300.0,397.7,4.1,13.7,48.5,0.1,0.1,0.6707275217208013,0.5085583516317966,0.4796249314768745,0.0,0.46163911021830584,0.7543951689851898,0.552672728137641,0.3414811574685785,0.5195049050920725,0.5194454792331816,0.0,0.0,0.5224836797364861
2013-01-01,Penza region,3.0,552.0,5,1,17,401.0,301.8,0.0,4.3,29.4,0.9,0.0,0.6021280364598082,0.7175876561963652,0.5568273017022904,0.0,0.49753996821290075,0.8657364886409056,0.5138839733702353,0.0,0.28950823923063035,0.4491558492639054,0.0,0.0,0.5370968878771278
2013-01-01,Perm,3.1,883.0,7,5,57,336.0,3746.1,1.4,6.7,597.4,0.1,0.1,0.6200995008571422,0.8320063353725952,0.6732387060615724,0.4883245054243353,0.8445608121525772,0.7978792510031315,0.8679457451726523,0.08143160139552573,0.3775333396576052,0.8720419075253434,0.0,0.0,0.5526894731254632
2013-01-01,Primorsky Krai,3.7,567.0,9,6,24,291.0,2010.0,5.1,10.5,379.8,1.4,170.8,0.7170717821543281,0.7241177921050679,0.7601875308018003,0.5436432495410011,0.5964514291826511,0.7427080072319359,0.7804277977281976,0.39430197136325357,0.46670471637676664,0.8084400359236185,0.13364289100975052,0.9999999980546614,0.5808532767612886
2013-01-01,Pskov region,1.9,204.0,3,3,6,306.0,256.5,0.0,2.6,38.5,0.2,0.0,0.35178763624028253,0.4751417178928394,0.3800937654009002,0.33333333232195644,0.19881714306088366,0.7619934135707078,0.49102177836918076,0.0,0.18965143763749334,0.48702185306528917,0.0,0.0,0.3746741536477623
2013-01-01,Republic of Adygea,2.4,105.0,2,4,5,237.0,65.1,0.0,3.2,8.8,0.2,0.0,0.47982739428841514,0.3133793407894341,0.23981246573843726,0.42061983443808937,0.1465213939662917,0.6639487894430334,0.2982676607640255,0.0,0.23086403037540582,0.2797759038928344,0.0,0.0,0.3125060030315615
2013-01-01,Altai Republic,2.7,67.0,4,3,6,321.0,39.3,0.0,2.5,4.5,0.0,0.0,0.5443819862218746,0.20395592613984698,0.4796249314768745,0.33333333232195644,0.19881714306088366,0.7803557120858927,0.22732052174145034,0.0,0.1818668478522041,0.18560019889790405,0.0,0.0,0.30237691079996887
2013-01-01,Republic of Bashkortostan,4.0,1466.0,9,11,36,361.0,2478.3,0.8,27.4,677.7,0.1,0.2,0.7598009873241046,0.9554831200718985,0.7601875308018003,0.7275527773405558,0.7127520023737813,0.8254160863420239,0.8098691182455453,0.0,0.6570818645012758,0.8897512977447256,0.0,0.0,0.7839554477464704
2013-01-01,The Republic of Buryatia,3.3,300.0,8,1,12,309.0,465.1,2.5,7.8,48.0,0.0,0.1,0.6543656930126801,0.569073470971731,0.7194373972153117,0.0,0.3976342861217674,0.7657368463155279,0.5746800435218945,0.2217568450510506,0.40770575926431724,0.5179903426060116,0.0,0.0,0.506539117004699
2013-01-01,The Republic of Dagestan,1.0,305.0,7,27,85,104.0,30.9,0.0,0.8,7.4,0.0,0.1,0.0,0.5730993391510225,0.6732387060615724,0.9999999969658693,0.9591790784312066,0.34790787908139814,0.19351719428715725,0.0,0.0,0.2554451879171262,0.0,0.0,0.4855727634415907
2013-01-01,The Republic of Ingushetia,1.1,30.0,2,2,8,70.0,7.8,0.0,0.0,3.0,0.0,0.0,0.05223765655287205,0.008257044279461119,0.23981246573843726,0.21030991721904468,0.2813337129306369,0.19600318542947026,0.0,0.0,0.0,0.12866502037655014,0.0,0.0,0.10639628352612807
2013-01-01,Republic of Kalmykia,2.8,52.0,1,2,3,181.0,18.0,0.0,0.0,1.2,0.0,0.0,0.5643143849408309,0.14222604378563322,0.0,0.21030991721904468,0.0,0.5605177441890037,0.11755379683735714,0.0,0.0,0.0,0.0,0.0,0.2565885106375754
2013-01-01,The Republic of Karelia,2.1,212.0,10,1,14,331.0,286.4,0.0,3.9,32.0,0.2,0.1,0.40664143407653447,0.48451054522852555,0.7966397674407278,0.0,0.4418497119702722,0.7921265373556116,0.5065214529113324,0.0,0.2701287998551139,0.4610551640846577,0.0,0.0,0.492573394988502
2013-01-01,Komi Republic,3.9,321.0,10,2,24,361.0,572.2,15.9,9.6,62.8,2.4,0.2,0.7459247889907248,0.5855523761758704,0.7966397674407278,0.21030991721904468,0.5964514291826511,0.8254160863420239,0.6038118260905788,0.6694929641072522,0.4489183520022297,0.5557286343222677,0.34772608350550266,0.0,0.5451350957093207
2013-01-01,Mari El Republic,2.7,180.0,4,2,16,260.0,332.0,0.0,2.0,47.5,0.0,0.0,0.5443819862218746,0.444657047945738,0.4796249314768745,0.21030991721904468,0.48015085599152063,0.6994875451576399,0.527290468759329,0.0,0.1375769594092033,0.5165199686690857,0.0,0.0,0.40712301285385755
2013-01-01,The Republic of Mordovia,3.7,334.0,2,4,8,405.0,182.7,0.0,3.6,34.5,0.0,0.0,0.7170717821543281,0.5952216558108809,0.23981246573843726,0.42061983443808937,0.2813337129306369,0.8695449448492628,0.44332776014357533,0.0,0.2542417954014436,0.4716179938608922,0.0,0.0,0.4351865200803209
2013-01-01,The Republic of Sakha (Yakutia),3.6,367.0,16,4,27,384.0,196.8,0.0,10.1,45.5,0.1,0.1,0.702054937086171,0.6181700382291622,0.959249862953749,0.42061983443808937,0.6302354325040281,0.8491150878358379,0.45377830278718284,0.0,0.4589957242298243,0.5104794920650955,0.0,0.0,0.5992389919766014
2013-01-01,Republic of Tatarstan,4.4,1649.0,12,23,89,434.0,3574.8,0.1,45.0,1051.7,0.3,0.5,0.8120386438769767,0.9841333723954988,0.8597186968777747,0.9513499405135702,0.9723691037165793,0.8960805828368372,0.8613660811467384,0.0,0.7555524505150552,0.9514598046094384,0.0,0.0,0.890646518545751
2013-01-01,Tyva Republic,2.3,56.0,2,1,3,181.0,8.1,0.0,0.4,1.6,0.1,0.0,0.4565012970593882,0.16027574290820465,0.23981246573843726,0.0,0.0,0.5605177441890037,0.005305266762826439,0.0,0.0,0.04039615203601145,0.0,0.0,0.11323213423889271
2013-01-01,The Republic of Khakassia,3.2,195.0,2,2,4,366.0,144.1,0.0,2.0,12.2,0.3,0.0,0.6375003451527116,0.4641522081623262,0.23981246573843726,0.21030991721904468,0.08251656986975327,0.8306940074265686,0.4099644784750833,0.0,0.1375769594092033,0.32564871661515765,0.0,0.0,0.29845394410293674
2013-01-01,Rostov region,3.9,1382.0,14,16,97,324.0,2765.0,1.0,55.2,476.5,2.0,1.3,0.7459247889907248,0.9411116791113833,0.9130511718000096,0.8412396688761787,0.9970580994824675,0.7839250291073983,0.8252573217578705,0.0,0.7961023327972951,0.8402903812509902,0.2753100643176469,0.05103873297699814,0.5943488518611549
2013-01-01,Ryazan Oblast,3.4,337.0,2,4,14,293.0,743.0,0.0,1.8,99.6,0.0,0.0,0.6707275217208013,0.5973995494235783,0.23981246573843726,0.42061983443808937,0.4418497119702722,0.745336091567116,0.6405305127466945,0.0,0.11666483599224034,0.620491070208666,0.0,0.0,0.43992576504729836
2013-01-01,Samara Region,5.9,1037.0,8,20,60,323.0,2871.0,0.4,23.8,696.7,1.6,0.4,0.9728168753326544,0.8711614462689374,0.7194373972153117,0.9089443398624246,0.859273396340073,0.7827389421880206,0.8305456407981612,0.0,0.6291242562950635,0.8936339215914725,0.18668001980854967,0.0,0.7098663286225239
2013-01-01,Saratov region,3.5,872.0,9,9,48,348.0,1613.2,0.2,11.0,269.5,0.1,0.1,0.6866150271122239,0.8289531281259741,0.7601875308018003,0.6666666646439129,0.7952685722435349,0.8113437487572303,0.7495137205628719,0.0,0.47593808337617793,0.7602654429759245,0.0,0.0,0.7176266030233163
2013-01-01,Sakhalin region,3.7,174.0,8,5,9,351.0,528.6,0.1,1.0,105.6,0.0,0.0,0.7170717821543281,0.4364000036662769,0.7194373972153117,0.4883245054243353,0.3151177162520141,0.8146373210217129,0.592670500250616,0.0,0.0,0.6287050740862844,0.0,0.0,0.5658883956832325
2013-01-01,Sverdlovsk region,4.7,1360.0,11,16,70,316.0,9584.2,1.5,129.6,1486.0,1.2,0.6,0.8481889236845168,0.9372032739097593,0.8296148265189235,0.8412396688761787,0.9034888221885782,0.7743320591306389,0.9999999985942711,0.0981289671766523,0.9655043574734979,0.9999999985958057,0.0724160191878558,0.0,0.5833667970989975
2013-01-01,Smolensk region,3.1,313.0,6,4,15,319.0,280.5,0.0,1.3,45.2,0.0,0.0,0.6200995008571422,0.5794054384513049,0.6199062311393374,0.42061983443808937,0.46163911021830584,0.7779575866989529,0.5035953284983624,0.0,0.05207447822829004,0.5095505839725025,0.0,0.0,0.4247078004442138
2013-01-01,Stavropol region,3.0,661.0,9,6,42,237.0,1081.8,0.6,20.2,138.4,0.2,0.2,0.6021280364598082,0.7614784854774389,0.7601875308018003,0.5436432495410011,0.7569674282222865,0.6639487894430334,0.6933417148017906,0.0,0.5965726836390276,0.6666870790738756,0.0,0.0,0.6673743736381629
2013-01-01,Tambov Region,3.1,352.0,3,1,6,325.0,244.2,0.7,9.0,29.5,0.1,0.1,0.6200995008571422,0.6080061373675988,0.3800937654009002,0.0,0.19881714306088366,0.7851074608995045,0.4841138717870217,0.0,0.4361086432536478,0.4496326559288907,0.0,0.0,0.4633192945173454
2013-01-01,Tver region,2.0,395.0,11,6,14,294.0,459.3,0.0,0.7,82.6,0.0,0.0,0.3799004936620523,0.6360774851451356,0.8296148265189235,0.5436432495410011,0.4418497119702722,0.7466434141704252,0.5729160161986266,0.0,0.0,0.5942112254629759,0.0,0.0,0.5767316057333186
2013-01-01,Tomsk region,3.1,302.0,5,2,24,286.0,807.7,0.3,11.4,131.7,6.3,0.2,0.6200995008571422,0.5706918123376271,0.5568273017022904,0.21030991721904468,0.5964514291826511,0.7360579480042697,0.6522675976160276,0.0,0.48302746545568254,0.6597192656381242,0.7310450827213035,0.0,0.554834086732243
2013-01-01,Tula region,3.4,428.0,5,5,15,277.0,490.9,0.0,2.4,88.6,0.0,0.0,0.6707275217208013,0.6556200719959838,0.5568273017022904,0.4883245054243353,0.46163911021830584,0.7237894452739996,0.582269293084513,0.0,0.17376443318382304,0.6040577414535068,0.0,0.0,0.5125604039042863
2013-01-01,Tyumen region,4.2,1320.0,17,16,98,382.0,2102.2,17.9,45.7,589.8,7.0,0.6,0.7865419277385868,0.9299323017442919,0.9802245425744825,0.8412396688761787,0.999999997131675,0.847111434129326,0.786732448485003,0.6981673855561477,0.7586161743648898,0.8702440601018754,0.7728930641541415,0.0,0.8380428130550558
2013-01-01,Udmurt republic,3.3,446.0,6,2,22,294.0,1343.3,0.0,14.6,161.8,0.1,0.1,0.6543656930126801,0.6656536889905911,0.6199062311393374,0.21030991721904468,0.5714937378408256,0.7466434141704252,0.7237761593347708,0.0,0.5321334348257185,0.6886224137528092,0.0,0.0,0.5707459154724797
2013-01-01,Ulyanovsk region,3.3,403.0,4,3,15,314.0,695.6,0.0,9.5,117.0,0.2,0.1,0.6543656930126801,0.6409610468365742,0.4796249314768745,0.33333333232195644,0.46163911021830584,0.7718958680076105,0.6312637707705298,0.0,0.4468399916810628,0.643100250869264,0.0,0.0,0.5463076507833996
2013-01-01,Khabarovsk region,6.1,396.0,4,3,30,295.0,937.1,41.6,66.8,173.5,3.0,0.9,0.9910879191625562,0.6366933122228354,0.4796249314768745,0.33333333232195644,0.6604562532791896,0.7479462976392024,0.6731566295112319,0.9022591873613067,0.8339607378830588,0.6984260200485618,0.4363561280146,0.0,0.6424310794366055
2013-01-01,Chelyabinsk region,3.6,1102.0,10,9,77,317.0,2702.6,62.3,29.1,650.8,0.4,0.6,0.702054937086171,0.8859685916017017,0.7966397674407278,0.6666666646439129,0.9308268799413445,0.7755443786632868,0.8220485541615813,0.9999999975798419,0.6690294961500712,0.8840639827823132,0.0,0.0,0.8061692241760874
2013-01-01,Chechen Republic,0.5,55.0,1,0,6,42.0,12.3,0.0,0.0,8.2,0.0,0.0,0.0,0.15588716508708816,0.0,0.0,0.19881714306088366,0.0,0.0640275088414722,0.0,0.0,0.2698598255036735,0.0,0.0,0.1521220807049786
2013-01-01,Chuvash Republic,3.4,393.0,3,4,16,315.0,535.3,0.0,4.1,43.8,0.2,0.1,0.6707275217208013,0.6348411399549695,0.3800937654009002,0.42061983443808937,0.48015085599152063,0.7731158970573906,0.5944410628537873,0.0,0.28005494800142716,0.5051325296750839,0.0,0.0,0.5047092507282436
2013-01-01,Chukotka Autonomous Okrug,5.0,29.0,7,0,4,569.0,23.1,0.0,0.0,4.3,0.1,0.0,0.8821016294954975,0.0,0.6732387060615724,0.0,0.08251656986975327,0.9999999961630119,0.15262122942117207,0.0,0.0,0.17921639833824096,0.0,0.0,0.3320500829773264
2013-01-01,Yaroslavl region,3.5,433.0,5,7,28,341.0,1982.5,1.1,38.9,287.9,0.1,0.3,0.6866150271122239,0.6584489014666919,0.5568273017022904,0.5904145812624123,0.640666855031156,0.8035469879236606,0.7784912589892617,0.02306657051024092,0.7266399857655068,0.7695394170296186,0.0,0.0,0.48815118098816057
2013-04-01,Amurskaya Oblast,4.5,253.0,4,2,6,308.0,588.6,13.0,8.7,63.5,1.9,0.1,0.8102564332235574,0.5256950085210612,0.4796249314768745,0.21533827836771055,0.19823986260359516,0.7580891069689184,0.6057576551794648,0.43412244342753026,0.4172603050855385,0.5126507010034974,0.24875966869273194,0.0,0.42982517351055344
2013-04-01,Arkhangelsk region,3.5,341.0,8,2,26,281.0,1128.8,2.1,19.4,165.1,0.4,0.4,0.674871689916499,0.5981370626904192,0.7194373972153117,0.21533827836771055,0.6176117755259593,0.7219293779703447,0.691137914552543,0.12557427382613776,0.5719398950289503,0.6479512300070991,0.0,0.0,0.49575882707147123
2013-04-01,Astrakhan region,3.0,295.0,3,5,20,291.0,232.1,0.0,7.1,50.7,0.0,0.2,0.5918297000006041,0.5629691696162417,0.3800937654009002,0.49999999844666265,0.542575683338276,0.7357116380941594,0.4837406383773889,0.0,0.3780617771303074,0.48077453373316836,0.0,0.0,0.5072277266806914
2013-04-01,Belgorod region,3.3,537.0,4,5,12,350.0,940.2,7.7,32.5,228.1,0.2,0.3,0.6431739237112108,0.7083475848917428,0.4796249314768745,0.49999999844666265,0.39647972520719044,0.808472390474545,0.667166933241525,0.3454803324520536,0.671459271002163,0.6937210280891436,0.0,0.0,0.5721626644088419
2013-04-01,Bryansk region,3.1,338.0,3,0,13,267.0,270.1,0.0,19.9,53.4,0.3,0.2,0.6094937942443798,0.5959924892431151,0.3800937654009002,0.0,0.419371912922364,0.7017868392318991,0.503621498835938,0.0,0.5768480309620688,0.4881214323069374,0.0,0.0,0.5248979380142815
2013-04-01,Vladimir region,3.6,487.0,6,3,17,340.0,892.6,0.0,8.3,84.8,0.0,0.1,0.6900475275035391,0.6846282684464906,0.6199062311393374,0.341303096182675,0.4960953236719555,0.7970474607307347,0.6603547405690807,0.0,0.4081819549236512,0.5536093319999197,0.0,0.0,0.5653250228356489
2013-04-01,Volgograd region,3.3,746.0,9,4,43,287.0,1737.7,35.5,6.3,340.8,0.2,0.2,0.6431739237112108,0.7881273341237425,0.7601875308018003,0.4306765567354211,0.7614992310480625,0.7302564302007625,0.7477038333198389,0.6041500396813159,0.3550039880530638,0.7505751254924533,0.0,0.0,0.6376235466343239
2013-04-01,Vologda Region,3.3,442.0,6,10,17,369.0,1356.5,39.8,52.2,227.9,0.0,0.2,0.6431739237112108,0.6610981868428896,0.6199062311393374,0.7153382768143733,0.4960953236719555,0.8293076086182246,0.7152314860155286,0.6235013180954463,0.7628536787527576,0.6935968174553593,0.0,0.0,0.6702772792017934
2013-04-01,Voronezh region,4.5,778.0,5,3,31,334.0,2381.5,11.9,35.4,413.6,0.4,0.4,0.8102564332235574,0.7983206496332708,0.5568273017022904,0.341303096182675,0.6679164475075198,0.7900300799010985,0.7890285313306408,0.419158724663916,0.6879450015419154,0.7779894070523735,0.0,0.0,0.6397385160935366
2013-04-01,Jewish Autonomous Region,2.5,55.0,2,0,4,315.0,41.1,1.4,1.1,3.4,0.2,0.0,0.49361187249766886,0.15533236135107759,0.23981246573843726,0.0,0.08227697683237771,0.7669463893373789,0.2567517308368352,0.05694855108254023,0.018383364033564636,0.0981497193939134,0.0,0.0,0.1462503691021357
